"","Tea_ID","Tea_Type","Region","Site","Plot","Lat","Lon","Elevation","Initial","Depth","Burial","Recovery","Days","Season","Final","Label","Tea_init","Tea_final","Loss","Treatment","Contributor","Soil.moisture","Additional.information","latlon"
"1","K21","Rooibos","Kluane","Common Garden","CG_DT_HT_1",61.03248,-138.40834,792,2.224,8,2016-06-23,2016-06-24,1,"Summer","2.012","Yes",1.864,1.762943356,0.0542149377682404,"None","Haydn Thomas",NA,"","61.03248_-138.40834"
"2","K22","Rooibos","Kluane","Common Garden","CG_DT_HT_2",61.03248,-138.40834,792,2.229,8,2016-06-23,2016-06-25,2,"Summer","2.114","Yes",1.869,1.864943356,0.00217048903156769,"None","Haydn Thomas",NA,"","61.03248_-138.40834"
"3","K23","Rooibos","Kluane","Common Garden","CG_DT_HT_3",61.03248,-138.40834,792,2.28,8,2016-06-23,2016-06-26,3,"Summer","2.12","Yes",1.917,1.870943356,0.0240253750652061,"None","Haydn Thomas",NA,"","61.03248_-138.40834"
"4","K24","Rooibos","Kluane","Common Garden","CG_DT_HT_9",61.03248,-138.40834,792,2.305,8,2016-06-23,2016-07-02,9,"Summer","2.1","Yes",1.941,1.850943356,0.0463970345182896,"None","Haydn Thomas",NA,"","61.03248_-138.40834"
"5","K25","Rooibos","Kluane","Common Garden","CG_DT_HT_11",61.03248,-138.40834,792,2.282,8,2016-06-23,2016-07-04,11,"Summer","2.032","Yes",1.919,1.782943356,0.0708997623762376,"None","Haydn Thomas",NA,"","61.03248_-138.40834"
"6","K26","Rooibos","Kluane","Common Garden","CG_DT_HT_13",61.03248,-138.40834,792,2.283,8,2016-06-23,2016-07-06,13,"Summer","2.072","Yes",1.92,1.822943356,0.0505503354166666,"None","Haydn Thomas",NA,"","61.03248_-138.40834"
"7","K27","Rooibos","Kluane","Common Garden","CG_DT_HT_14",61.03248,-138.40834,792,2.236,8,2016-06-23,2016-07-07,14,"Summer","2.088","Yes",1.876,1.838943356,0.0197530085287846,"None","Haydn Thomas",NA,"","61.03248_-138.40834"
"8","K28","Rooibos","Kluane","Common Garden","CG_DT_HT_16",61.03248,-138.40834,792,2.252,8,2016-06-23,2016-07-09,16,"Summer","1.996","Yes",1.891,1.746943356,0.0761801396086726,"None","Haydn Thomas",NA,"","61.03248_-138.40834"
"9","K29","Rooibos","Kluane","Common Garden","CG_DT_HT_18",61.03248,-138.40834,792,2.222,8,2016-06-23,2016-07-11,18,"Summer","1.841","Yes",1.862,1.591943356,0.145035791621912,"None","Haydn Thomas",NA,"","61.03248_-138.40834"
"10","K30","Rooibos","Kluane","Common Garden","CG_DT_HT_20",61.03248,-138.40834,792,2.25,8,2016-06-23,2016-07-13,20,"Summer","1.854","Yes",1.889,1.604943356,0.150374083642139,"None","Haydn Thomas",NA,"","61.03248_-138.40834"
"11","K31","Rooibos","Kluane","Common Garden","CG_DT_HT_23",61.03248,-138.40834,792,2.249,8,2016-06-23,2016-07-16,23,"Summer","1.864","Yes",1.888,1.614943356,0.144627459745763,"None","Haydn Thomas",NA,"","61.03248_-138.40834"
"12","K32","Rooibos","Kluane","Common Garden","CG_DT_HT_27",61.03248,-138.40834,792,2.339,8,2016-06-23,2016-07-20,27,"Summer","1.88","Yes",1.973,1.630943356,0.173368800810948,"None","Haydn Thomas",NA,"","61.03248_-138.40834"
"13","K33","Rooibos","Kluane","Common Garden","CG_DT_HT_30",61.03248,-138.40834,792,2.281,8,2016-06-23,2016-07-23,30,"Summer","1.846","Yes",1.918,1.596943356,0.167391368091762,"None","Haydn Thomas",NA,"","61.03248_-138.40834"
"14","K34","Rooibos","Kluane","Common Garden","CG_DT_HT_34",61.03248,-138.40834,792,2.256,8,2016-06-23,2016-07-27,34,"Summer","1.771","Yes",1.894,1.521943356,0.196439621964097,"None","Haydn Thomas",NA,"","61.03248_-138.40834"
"15","K35","Rooibos","Kluane","Common Garden","CG_DT_HT_37",61.03248,-138.40834,792,2.196,8,2016-06-23,2016-07-30,37,"Summer","1.765","Yes",1.838,1.515943356,0.17522124265506,"None","Haydn Thomas",NA,"","61.03248_-138.40834"
"16","K36","Rooibos","Kluane","Common Garden","CG_DT_HT_42",61.03248,-138.40834,792,2.268,8,2016-06-23,2016-08-04,42,"Summer","1.748","Yes",1.906,1.498943356,0.213565920251836,"None","Haydn Thomas",NA,"","61.03248_-138.40834"
"17","K37","Rooibos","Kluane","Common Garden","CG_DT_HT_45",61.03248,-138.40834,792,2.25,8,2016-06-23,2016-08-07,45,"Summer","1.848","Yes",1.889,1.598943356,0.153550367390154,"None","Haydn Thomas",NA,"","61.03248_-138.40834"
"18","K38","Rooibos","Kluane","Common Garden","CG_DT_HT_46",61.03248,-138.40834,792,2.205,8,2016-06-23,2016-08-08,46,"Summer","1.775","Yes",1.846,1.525943356,0.173378463705309,"None","Haydn Thomas",NA,"","61.03248_-138.40834"
"19","K39","Rooibos","Kluane","Common Garden","CG_DT_HT_47",61.03248,-138.40834,792,2.261,8,2016-06-23,2016-08-09,47,"Summer","1.83","Yes",1.899,1.580943356,0.167486384412849,"None","Haydn Thomas",NA,"","61.03248_-138.40834"
"20","K40","Rooibos","Kluane","Common Garden","CG_DT_HT_48",61.03248,-138.40834,792,2.27,8,2016-06-23,2016-08-10,48,"Summer","1.754","Yes",1.908,1.504943356,0.211245620545073,"None","Haydn Thomas",NA,"","61.03248_-138.40834"
"21","K41","Rooibos","Kluane","Common Garden","CG_DT_HT_50",61.03248,-138.40834,792,2.233,8,2016-06-23,2016-08-12,50,"Summer","1.769","Yes",1.873,1.519943356,0.188497941270689,"None","Haydn Thomas",NA,"","61.03248_-138.40834"
"22","K42","Rooibos","Kluane","Common Garden","CG_DT_HT_52",61.03248,-138.40834,792,2.283,8,2016-06-23,2016-08-14,52,"Summer","1.837","Yes",1.92,1.587943356,0.17294616875,"None","Haydn Thomas",NA,"","61.03248_-138.40834"
"23","K43","Rooibos","Kluane","Common Garden","CG_DT_HT_54",61.03248,-138.40834,792,2.215,8,2016-06-23,2016-08-16,54,"Summer","1.756","Yes",1.856,1.506943356,0.1880693125,"None","Haydn Thomas",NA,"","61.03248_-138.40834"
"24","K44","Rooibos","Kluane","Common Garden","CG_DT_HT_55",61.03248,-138.40834,792,2.239,8,2016-06-23,2016-08-17,55,"Summer","1.8","Yes",1.878,1.550943356,0.174151567625133,"None","Haydn Thomas",NA,"","61.03248_-138.40834"
"25","K45","Rooibos","Kluane","Common Garden","CG_DT_HT_56",61.03248,-138.40834,792,2.197,8,2016-06-23,2016-08-18,56,"Summer","1.775","Yes",1.839,1.525943356,0.170231997824905,"None","Haydn Thomas",NA,"","61.03248_-138.40834"
"26","K46","Rooibos","Kluane","Common Garden","CG_DT_HT_1",61.03248,-138.40834,792,2.24,8,2016-06-23,2016-06-24,1,"Summer","2.191","Yes",1.879,1.941943356,-0.0334983267695583,"None","Haydn Thomas",NA,"","61.03248_-138.40834"
"27","K47","Rooibos","Kluane","Common Garden","CG_DT_HT_2",61.03248,-138.40834,792,2.236,8,2016-06-23,2016-06-25,2,"Summer","2.139","Yes",1.876,1.889943356,-0.00743249253731348,"None","Haydn Thomas",NA,"","61.03248_-138.40834"
"28","K48","Rooibos","Kluane","Common Garden","CG_DT_HT_3",61.03248,-138.40834,792,2.171,8,2016-06-23,2016-06-26,3,"Summer","2.04","Yes",1.814,1.790943356,0.0127103880926129,"None","Haydn Thomas",NA,"","61.03248_-138.40834"
