Label,Init_mass_w_bag,Init_mass,Colour,DOB,DOR,Days,Final_mass_w_tea,Final_mass,Mass_Loss,percent_mass_loss,Treatment,Site,Moiture_VWC,,,,Treatment,Moiture_VWC,Before/after,Date,Probe_type,Site
K71,2.209,1.9596,R,23/06/2016,14/08/2016,52,1.657,1.4076,0.281690141,28.16901408,"light water, cover",1,25.9,,,,"Light water, cover",25.9,N/A,14/08/2016,HydroSense,1
K72,2.204,1.9546,R,23/06/2016,14/08/2016,52,1.669,1.4196,0.27,27,"light water, cover",1,26.5,,,,"Light water, cover",26.5,N/A,14/08/2016,HydroSense,1
K73,2.274,2.0246,R,23/06/2016,14/08/2016,52,1.717,1.4676,0.28,28,"light water, cover",1,21.2,,,,"Light water, cover",21.2,N/A,14/08/2016,HydroSense,1
K74,2.288,2.0386,R,23/06/2016,14/08/2016,52,1.694,1.4446,0.29,29,"light water, cover",1,16.7,,,,"Light water, cover",16.7,N/A,14/08/2016,HydroSense,1
K75,2.245,1.9956,R,23/06/2016,14/08/2016,52,1.705,1.4556,0.27,27,"light water, cover",1,16.6,,,,"Light water, cover",16.6,N/A,14/08/2016,HydroSense,1
K76,2.21,1.9606,R,23/06/2016,14/08/2016,52,1.673,1.4236,0.27,27,"light water, cover",1,19.8,,,,"Light water, cover",19.8,N/A,14/08/2016,HydroSense,1
K77,2.188,1.9386,R,23/06/2016,14/08/2016,52,1.665,1.4156,0.27,27,heavy water ,2,53.5,,,,"Saturated, no cover",53.5,N/A,14/08/2016,HydroSense,2
K78,2.255,2.0056,R,23/06/2016,14/08/2016,52,1.565,1.3156,0.34,34,heavy water ,2,49.2,,,,"Saturated, no cover",49.2,N/A,14/08/2016,HydroSense,2
K79,2.258,2.0086,R,23/06/2016,14/08/2016,52,1.766,1.5166,0.24,24,heavy water ,2,47.7,,,,"Saturated, no cover",47.7,N/A,14/08/2016,HydroSense,2
K80,2.303,2.0536,R,23/06/2016,14/08/2016,52,1.806,1.5566,0.24,24,heavy water ,2,52.2,,,,"Saturated, no cover",52.2,N/A,14/08/2016,HydroSense,2
K81,2.205,1.9556,R,23/06/2016,14/08/2016,52,1.697,1.4476,0.26,26,heavy water ,2,54.2,,,,"Saturated, no cover",54.2,N/A,14/08/2016,HydroSense,2
K82,2.227,1.9776,R,23/06/2016,14/08/2016,52,1.686,1.4366,0.27,27,heavy water ,2,51.4,,,,"Saturated, no cover",51.4,N/A,14/08/2016,HydroSense,2
K83,2.153,1.9036,R,23/06/2016,14/08/2016,52,1.718,1.4686,0.23,23,disturbance,3,19.1,,,,"Nothing, disturbed, no cover ",19.1,N/A,14/08/2016,HydroSense,3
K84,2.238,1.9886,R,23/06/2016,14/08/2016,52,1.854,1.6046,0.19,19,disturbance,3,10,,,,"Nothing, disturbed, no cover ",10,N/A,14/08/2016,HydroSense,3
K85,2.174,1.9246,R,23/06/2016,14/08/2016,52,1.777,1.5276,0.21,21,disturbance,3,13.6,,,,"Nothing, disturbed, no cover ",13.6,N/A,14/08/2016,HydroSense,3
K86,2.206,1.9566,R,23/06/2016,14/08/2016,52,1.804,1.5546,0.21,21,disturbance,3,30.9,,,,"Nothing, disturbed, no cover ",30.9,N/A,14/08/2016,HydroSense,3
K87,2.234,1.9846,R,23/06/2016,14/08/2016,52,1.801,1.5516,0.22,22,disturbance,3,29.9,,,,"Nothing, disturbed, no cover ",29.9,N/A,14/08/2016,HydroSense,3
K88,2.222,1.9726,R,23/06/2016,14/08/2016,52,1.817,1.5676,0.21,21,disturbance,3,27.7,,,,"Nothing, disturbed, no cover ",27.7,N/A,14/08/2016,HydroSense,3
K89,2.193,1.9436,R,23/06/2016,14/08/2016,52,1.79,1.5406,0.21,21,"disturbance, cover",4,21.8,,,,"Light water, no cover",21.5,N/A,14/08/2016,HydroSense,4
K90,2.278,2.0286,R,23/06/2016,14/08/2016,52,1.859,1.6096,0.21,21,"disturbance, cover",4,18.4,,,,"Light water, no cover",17.3,N/A,14/08/2016,HydroSense,4
K91,2.254,2.0046,R,23/06/2016,14/08/2016,52,1.881,1.6316,0.19,19,"disturbance, cover",4,16.3,,,,"Light water, no cover",18.6,N/A,14/08/2016,HydroSense,4
K92,2.175,1.9256,R,23/06/2016,14/08/2016,52,1.807,1.5576,0.19,19,"disturbance, cover",4,8.5,,,,"Light water, no cover",29.1,N/A,14/08/2016,HydroSense,4
K93,2.206,1.9566,R,23/06/2016,14/08/2016,52,1.817,1.5676,0.2,20,"disturbance, cover",4,10.9,,,,"Light water, no cover",30.8,N/A,14/08/2016,HydroSense,4
K94,2.174,1.9246,R,23/06/2016,14/08/2016,52,1.768,1.5186,0.21,21,"disturbance, cover",4,13.9,,,,"Light water, no cover",21.3,N/A,14/08/2016,HydroSense,4
K95,2.183,1.9336,R,23/06/2016,14/08/2016,52,1.684,1.4346,0.26,26,light water,5,21.5,,,,"No water, cover",3.4,N/A,14/08/2016,HydroSense,5
K96,2.189,1.9396,R,23/06/2016,14/08/2016,52,1.681,1.4316,0.26,26,light water,5,17.3,,,,"No water, cover",4.8,N/A,14/08/2016,HydroSense,5
