Label,Init_mass_w_bag,Init_mass,Colour,DOB,DOR,Days,Final_mass_w_tea,Final_mass,Mass_Loss,percent_mass_loss,Treatment,Site,Weekly_average,Week
K77,2.188,1.9386,R,23/06/2016,14/08/2016,52,1.665,1.4156,0.27,27,heavy water ,2,14.52678571,1
K78,2.255,2.0056,R,23/06/2016,14/08/2016,52,1.565,1.3156,0.34,34,heavy water ,2,13.83035714,2
K79,2.258,2.0086,R,23/06/2016,14/08/2016,52,1.766,1.5166,0.24,24,heavy water ,2,17.15773809,3
K80,2.303,2.0536,R,23/06/2016,14/08/2016,52,1.806,1.5566,0.24,24,heavy water ,2,16.98809524,4
K81,2.205,1.9556,R,23/06/2016,14/08/2016,52,1.697,1.4476,0.26,26,heavy water ,2,14.36904762,5
K82,2.227,1.9776,R,23/06/2016,14/08/2016,52,1.686,1.4366,0.27,27,heavy water ,2,15.27083333,6
K83,2.153,1.9036,R,23/06/2016,14/08/2016,52,1.718,1.4686,0.23,23,disturbance,3,14.86309524,1
K84,2.238,1.9886,R,23/06/2016,14/08/2016,52,1.854,1.6046,0.19,19,disturbance,3,13.92261905,2
K85,2.174,1.9246,R,23/06/2016,14/08/2016,52,1.777,1.5276,0.21,21,disturbance,3,16.92559524,3
K86,2.206,1.9566,R,23/06/2016,14/08/2016,52,1.804,1.5546,0.21,21,disturbance,3,16.88690476,4
K87,2.234,1.9846,R,23/06/2016,14/08/2016,52,1.801,1.5516,0.22,22,disturbance,3,14.25,5
K88,2.222,1.9726,R,23/06/2016,14/08/2016,52,1.817,1.5676,0.21,21,disturbance,3,15.07738095,6
K89,2.193,1.9436,R,23/06/2016,14/08/2016,52,1.79,1.5406,0.21,21,"disturbance, cover",4,15.46130952,1
K90,2.278,2.0286,R,23/06/2016,14/08/2016,52,1.859,1.6096,0.21,21,"disturbance, cover",4,14.42261905,2
K91,2.254,2.0046,R,23/06/2016,14/08/2016,52,1.881,1.6316,0.19,19,"disturbance, cover",4,16.61309524,3
K92,2.175,1.9256,R,23/06/2016,14/08/2016,52,1.807,1.5576,0.19,19,"disturbance, cover",4,16.91964286,4
K93,2.206,1.9566,R,23/06/2016,14/08/2016,52,1.817,1.5676,0.2,20,"disturbance, cover",4,14.54761905,5
K94,2.174,1.9246,R,23/06/2016,14/08/2016,52,1.768,1.5186,0.21,21,"disturbance, cover",4,14.82142857,6
K95,2.183,1.9336,R,23/06/2016,14/08/2016,52,1.684,1.4346,0.26,26,light water,5,15.20535714,1
K96,2.189,1.9396,R,23/06/2016,14/08/2016,52,1.681,1.4316,0.26,26,light water,5,14.59821429,2
K97,2.216,1.9666,R,23/06/2016,14/08/2016,52,1.671,1.4216,0.28,28,light water,5,16.80357143,3
K98,2.277,2.0276,R,23/06/2016,14/08/2016,52,1.83,1.5806,0.22,22,light water,5,16.97619048,4
K99,2.319,2.0696,R,23/06/2016,14/08/2016,52,1.819,1.5696,0.24,24,light water,5,14.31845238,5
K100,2.199,1.9496,R,23/06/2016,14/08/2016,52,1.721,1.4716,0.25,25,light water,5,14.59523809,6
K101,2.301,2.0516,R,23/06/2016,14/08/2016,52,1.865,1.6156,0.21,21,"no water, cover",6,16.82142857,1
K102,2.2,1.9506,R,23/06/2016,14/08/2016,52,1.852,1.6026,0.18,18,"no water, cover",6,15.35119048,2
K103,2.228,1.9786,R,23/06/2016,14/08/2016,52,1.775,1.5256,0.23,23,"no water, cover",6,16.74404762,3
K104,2.223,1.9736,R,23/06/2016,14/08/2016,52,1.787,1.5376,0.22,22,"no water, cover",6,16.76785714,4
K105,2.23,1.9806,R,23/06/2016,14/08/2016,52,1.802,1.5526,0.22,22,"no water, cover",6,14.47916667,5
K106,2.28,2.0306,R,23/06/2016,14/08/2016,52,1.953,1.7036,0.16,16,"no water, cover",6,14.5327381,6
K113,2.196,1.9466,R,23/06/2016,14/08/2016,52,1.74,1.4906,0.23,23,"no water, cover",8,16.29761905,1
K114,2.22,1.9706,R,23/06/2016,14/08/2016,52,1.894,1.6446,0.17,17,"no water, cover",8,14.57440476,2
K115,2.279,2.0296,R,23/06/2016,14/08/2016,52,1.848,1.5986,0.21,21,"no water, cover",8,16.76488095,5
K116,2.292,2.0426,R,23/06/2016,14/08/2016,52,1.946,1.6966,0.17,17,"no water, cover",8,16.93452381,5
K117,2.189,1.9396,R,23/06/2016,14/08/2016,52,1.859,1.6096,0.17,17,"no water, cover",8,14.29166667,5
K118,2.293,2.0436,R,23/06/2016,14/08/2016,52,1.92,1.6706,0.18,18,"no water, cover",8,14.69047619,6
K119,2.31,2.0606,R,23/06/2016,14/08/2016,52,1.68,1.4306,0.31,31,heavy water ,9,15.6875,1
K120,2.233,1.9836,R,23/06/2016,14/08/2016,52,1.69,1.4406,0.27,27,heavy water ,9,14.24107143,2
K121,2.222,1.9726,R,23/06/2016,14/08/2016,52,1.641,1.3916,0.29,29,heavy water ,9,16.96130952,5
K122,2.266,2.0166,R,23/06/2016,14/08/2016,52,1.694,1.4446,0.28,28,heavy water ,9,16.89583333,5
K123,2.266,2.0166,R,23/06/2016,14/08/2016,52,1.705,1.4556,0.28,28,heavy water ,9,14.36011905,5
K124,2.179,1.9296,R,23/06/2016,14/08/2016,52,1.642,1.3926,0.28,28,heavy water ,9,14.51488095,6
K125,2.168,1.9186,R,23/06/2016,14/08/2016,52,1.711,1.4616,0.24,24,light water,10,14.61011905,1
K126,2.21,1.9606,R,23/06/2016,14/08/2016,52,1.652,1.4026,0.28,28,light water,10,13.55654762,2
K127,2.19,1.9406,R,23/06/2016,14/08/2016,52,1.683,1.4336,0.26,26,light water,10,16.47916667,5
K128,2.254,2.0046,R,23/06/2016,14/08/2016,52,1.748,1.4986,0.25,25,light water,10,17.56547619,5
K129,2.197,1.9476,R,23/06/2016,14/08/2016,52,1.791,1.5416,0.21,21,light water,10,13.86607143,5
K130,2.236,1.9866,R,23/06/2016,14/08/2016,52,1.704,1.4546,0.27,27,light water,10,14.75,6
K131,2.18,1.9306,R,23/06/2016,14/08/2016,52,1.679,1.4296,0.26,26,"heavy water, cover",11,15.52678571,1
K132,2.282,2.0326,R,23/06/2016,14/08/2016,52,1.699,1.4496,0.29,29,"heavy water, cover",11,14.42857143,2
K133,2.287,2.0376,R,23/06/2016,14/08/2016,52,1.78,1.5306,0.25,25,"heavy water, cover",11,16.56547619,5
K134,2.284,2.0346,R,23/06/2016,14/08/2016,52,1.69,1.4406,0.29,29,"heavy water, cover",11,17.66369048,5
K135,2.18,1.9306,R,23/06/2016,14/08/2016,52,1.656,1.4066,0.27,27,"heavy water, cover",11,13.92559524,5
K136,2.177,1.9276,R,23/06/2016,14/08/2016,52,1.605,1.3556,0.3,30,"heavy water, cover",11,15.45535714,6
K137,2.185,1.9356,R,23/06/2016,14/08/2016,52,1.817,1.5676,0.19,19,no water,12,15.09821429,1
K138,2.191,1.9416,R,23/06/2016,14/08/2016,52,1.795,1.5456,0.2,20,no water,12,13.11755952,2
K139,2.162,1.9126,R,23/06/2016,14/08/2016,52,1.777,1.5276,0.2,20,no water,12,16.4672619,5
K140,2.243,1.9936,R,23/06/2016,14/08/2016,52,1.889,1.6396,0.18,18,no water,12,17.74404762,5
K141,2.134,1.8846,R,23/06/2016,14/08/2016,52,1.747,1.4976,0.21,21,no water,12,13.99404762,5
K142,2.23,1.9806,R,23/06/2016,14/08/2016,52,1.776,1.5266,0.23,23,no water,12,14.8125,6
K143,2.227,1.9776,R,23/06/2016,14/08/2016,52,1.778,1.5286,0.23,23,no water,13,15.98511905,1
