tea_typre,Moiture_VWC,Treatment,percent_mass_loss,plo,phi,
R,25.9,"light water, cover",25.50383959,23.66665218,72.97182223,
R,26.5,"light water, cover",25.47119563,23.62502457,72.90212591,
R,21.2,"light water, cover",25.75955062,23.95644799,73.58226464,
R,16.7,"light water, cover",26.00438034,24.17217985,74.27520699,
R,16.6,"light water, cover",26.009821,24.17629854,74.29180141,
R,19.8,"light water, cover",25.83571987,24.03002178,73.78648783,
R,25.9,"light water, cover",25.50383959,23.66665218,72.97182223,
R,26.5,"light water, cover",25.47119563,23.62502457,72.90212591,
R,21.2,"light water, cover",25.75955062,23.95644799,73.58226464,
R,16.7,"light water, cover",26.00438034,24.17217985,74.27520699,
R,16.6,"light water, cover",26.009821,24.17629854,74.29180141,
R,19.8,"light water, cover",25.83571987,24.03002178,73.78648783,
R,53.5,heavy water ,27.63393258,25.82400735,65.05182453,
R,49.2,heavy water ,27.86788097,26.05774096,65.66550462,
R,47.7,heavy water ,27.94949088,26.12628709,65.90238957,
R,52.2,heavy water ,27.70466116,25.90052466,65.22710234,
R,54.2,heavy water ,27.59584796,25.78072018,64.9611107,
R,51.4,heavy water ,27.74818645,25.94509259,65.33938072,
R,53.5,heavy water ,27.63393258,25.82400735,65.05182453,
R,49.2,heavy water ,27.86788097,26.05774096,65.66550462,
R,47.7,heavy water ,27.94949088,26.12628709,65.90238957,
R,52.2,heavy water ,27.70466116,25.90052466,65.22710234,
R,54.2,heavy water ,27.59584796,25.78072018,64.9611107,
R,51.4,heavy water ,27.74818645,25.94509259,65.33938072,
R,19.1,disturbance,21.40052493,19.58595511,68.8421856,
R,10,disturbance,21.89562502,19.89187347,70.48013232,
R,13.6,disturbance,21.69976125,19.79664646,69.78385196,
R,30.9,disturbance,20.75852702,18.83660244,67.3502201,
R,29.9,disturbance,20.81293362,18.91524703,67.44926491,
R,27.7,disturbance,20.93262815,19.07905641,67.68438669,
R,19.1,disturbance,21.40052493,19.58595511,68.8421856,
R,10,disturbance,21.89562502,19.89187347,70.48013232,
R,13.6,disturbance,21.69976125,19.79664646,69.78385196,
R,30.9,disturbance,20.75852702,18.83660244,67.3502201,
R,29.9,disturbance,20.81293362,18.91524703,67.44926491,
R,27.7,disturbance,20.93262815,19.07905641,67.68438669,
R,21.8,"disturbance, cover",20.12822155,18.25620667,69.07453821,
R,18.4,"disturbance, cover",20.313204,18.49246642,69.46872172,
R,16.3,"disturbance, cover",20.42745786,18.62169344,69.74197117,
R,8.5,"disturbance, cover",20.85182937,18.9868935,70.95890026,
R,10.9,"disturbance, cover",20.72125352,18.89345372,70.55086465,
R,13.9,"disturbance, cover",20.55803371,18.75323084,70.08259668,
R,21.8,"disturbance, cover",20.12822155,18.25620667,69.07453821,
R,18.4,"disturbance, cover",20.313204,18.49246642,69.46872172,
R,16.3,"disturbance, cover",20.42745786,18.62169344,69.74197117,
R,8.5,"disturbance, cover",20.85182937,18.9868935,70.95890026,
R,10.9,"disturbance, cover",20.72125352,18.89345372,70.55086465,
R,13.9,"disturbance, cover",20.55803371,18.75323084,70.08259668,
R,21.5,light water,25.25371723,23.44677828,66.16240573,
R,17.3,light water,25.48222496,23.62922073,66.8426281,
R,18.6,light water,25.41149638,23.57819624,66.62236545,
R,29.1,light water,24.84022705,22.98377163,65.16573044,
R,30.8,light water,24.74773582,22.85755979,64.98335458,
R,21.3,light water,25.26459855,23.45663917,66.19271906,
R,21.5,light water,25.25371723,23.44677828,66.16240573,
R,17.3,light water,25.48222496,23.62922073,66.8426281,
R,18.6,light water,25.41149638,23.57819624,66.62236545,
R,29.1,light water,24.84022705,22.98377163,65.16573044,
R,30.8,light water,24.74773582,22.85755979,64.98335458,
R,21.3,light water,25.26459855,23.45663917,66.19271906,
R,4.8,"no water, cover",19.79642586,17.97040391,65.19300633,
R,4.3,"no water, cover",19.82362916,17.99142867,65.27520699,
R,16.6,"no water, cover",19.15442795,17.2601568,63.63120493,
R,19.8,"no water, cover",18.98032682,17.00105936,63.32860473,
R,4.8,"no water, cover",19.79642586,17.97040391,65.19300633,
R,4.3,"no water, cover",19.82362916,17.99142867,65.27520699,
