"","Label","Site","Elevation","Treatment","Init__w_bag","Init","tea_type","Plot","Site.1","DOB","DOR","Days","Final_w_bag","Final","Mass_loss","Percent_mass_loss","Average_moisture"
"1","1A1",1,794,"A",2.136,1.889,"G","1A","EP","24/06/2016","13/08/2016",50,1.525,1.278,0.32,32,6.8
"2","1A2",1,794,"A",2.056,1.809,"G","1A","EP","24/06/2016","13/08/2016",50,1.196,0.949,0.48,48,5.4
"3","1A3",1,794,"A",2.128,1.881,"G","1A","EP","24/06/2016","13/08/2016",50,1.258,1.011,0.46,46,4.7
"4","1A4",1,794,"A",2.058,1.811,"G","1A","EP","24/06/2016","13/08/2016",50,1.299,1.052,0.42,42,5.633333333
"5","2A1",2,922,"A",2.065,1.818,"G","2A","EP","24/06/2016","13/08/2016",50,1.203,0.956,0.47,47,6.15
"6","2A2",2,922,"A",1.973,1.726,"G","2A","EP","24/06/2016","13/08/2016",50,1.394,1.147,0.34,34,8.65
"7","2A3",2,922,"A",2.106,1.859,"G","2A","EP","24/06/2016","13/08/2016",50,1.339,1.092,0.41,41,5.55
"8","2A4",2,922,"A",2.043,1.796,"G","2A","EP","24/06/2016","13/08/2016",50,1.215,0.968,0.46,46,6.783333333
"9","3A1",3,1049,"A",2.063,1.816,"G","3A","EP","24/06/2016","13/08/2016",50,1.152,0.905,0.5,50,13.05
"10","3A2",3,1049,"A",2.058,1.811,"G","3A","EP","24/06/2016","13/08/2016",50,1.241,0.994,0.45,45,18.4
"11","3A3",3,1049,"A",2.016,1.769,"G","3A","EP","24/06/2016","13/08/2016",50,1.401,1.154,0.35,35,12.35
"12","3A4",3,1049,"A",2.094,1.847,"G","3A","EP","24/06/2016","13/08/2016",50,1.339,1.092,0.41,41,14.6
"13","4A1",4,1175,"A",2.103,1.856,"G","4A","EP","24/06/2016","13/08/2016",50,1.363,1.116,0.4,40,24.15
"14","4A2",4,1175,"A",2.161,1.914,"G","4A","EP","24/06/2016","13/08/2016",50,1.522,1.275,0.33,33,20.75
"15","4A3",4,1175,"A",2.057,1.81,"G","4A","EP","24/06/2016","13/08/2016",50,1.372,1.125,0.38,38,24.4
"16","4A4",4,1175,"A",2.129,1.882,"G","4A","EP","24/06/2016","13/08/2016",50,1.31,1.063,0.44,44,23.1
"17","5A1",5,1299,"A",2.035,1.788,"G","5A","EP","24/06/2016","13/08/2016",50,1.224,0.977,0.45,45,7.5
"18","5A2",5,1299,"A",2.195,1.948,"G","5A","EP","24/06/2016","13/08/2016",50,1.382,1.135,0.42,42,27.5
"19","5A3",5,1299,"A",2.112,1.865,"G","5A","EP","24/06/2016","13/08/2016",50,1.189,0.942,0.5,50,29.05
"20","5A4",5,1299,"A",2.054,1.807,"G","5A","EP","24/06/2016","13/08/2016",50,1.131,1.014,0.44,44,17.2
"21","6A1",6,1425,"A",2.03,1.783,"G","6A","EP","24/06/2016","13/08/2016",50,1.205,0.958,0.46,46,24.58333333
