tea_type,Elevation,Average_mass_loss,Average_moisture,LINE_Average_moisture,LINE_Percent_mass_loss,plo,phi
R,794,15,6.8,6.8,19.72351446,17.29919604,22.14783289
R,794,18,5.4,5.4,19.66201011,17.11038622,22.213634
R,794,16,4.7,4.7,19.63125794,17.01274057,22.2497753
R,794,16,5.633333333,5.633333333,19.67226084,17.14247525,22.20204642
R,922,22,5.15,5.15,19.65102719,17.07574593,22.22630845
R,922,18,6.15,6.15,19.69495887,17.21266709,22.17725065
R,922,18,8.65,8.65,19.80478807,17.53337188,22.07620426
R,922,23,5.55,5.55,19.66859986,17.13104209,22.20615764
R,1049,23,6.783333333,6.783333333,19.72278227,17.29700313,22.14856141
R,1049,19,13.05,13.05,19.99808747,17.99899322,21.99718171
R,1049,13,18.4,18.4,20.23312196,18.33167049,22.13457343
R,1049,16,12.35,12.35,19.96733529,17.9350723,21.99959828
R,1175,18,14.6,14.6,20.06618157,18.12469463,22.00766852
R,1175,13,24.15,24.15,20.48572912,18.3714047,22.60005354
R,1175,18,20.75,20.75,20.33636141,18.38530201,22.2874208
R,1175,21,24.4,24.4,20.49671204,18.36663088,22.6267932
R,1299,21,7.5,7.5,19.75426664,17.39001118,22.1185221
R,1299,17,27.5,27.5,20.63290025,18.27234329,22.99345721
R,1299,25,29.05,29.05,20.70099435,18.20450077,23.19748794
R,1299,20,17.2,17.2,20.18040394,18.28243,22.07837788
R,1425,22,24.58333333,24.58333333,20.50476618,18.3628364,22.64669596
R,1425,20,25.95,25.95,20.56480614,18.32713973,22.80247256
R,1425,20,30.05,30.05,20.74492603,18.15476066,23.33509141
R,1425,22,19.4,19.4,20.27705364,18.36130216,22.19280511
R,1551,20,25.13333333,25.13333333,20.52892861,18.35000587,22.70785134
R,1551,18,28.8,28.8,20.69001143,18.21623884,23.16378402
R,1551,17,23.35,23.35,20.45058378,18.3834611,22.51770645
R,1551,22,32.9,32.9,20.87013132,17.99189444,23.74836821
R,1684,20,46.75,46.75,21.4785851,16.94858699,26.00858321
R,1684,24,48.05,48.05,21.53569628,16.83893697,26.23245559
R,1684,24,42.75,42.75,21.30285838,17.27713629,25.32858047
R,1684,26,45.85,45.85,21.43904658,17.02374692,25.85434625
R,1799,24,19.55,19.55,20.28364339,18.36486556,22.20242122
R,1799,21,26.15,26.15,20.57359248,18.32087936,22.8263056
R,1799,20,22.55,22.55,20.41543843,18.39035138,22.44052548
R,1799,28,22.75,22.75,20.42422477,18.38913132,22.45931822
R,1926,25,31.95,31.95,20.82839623,18.04929586,23.6074966
R,1926,28,26.05,26.05,20.56919931,18.32404105,22.81435757
R,1926,30,28,28,20.65486609,18.25178168,23.05795049
G,794,32,6.8,6.8,45.21258509,40.56910188,49.85606829
G,794,48,5.4,5.4,45.1086099,40.31384939,49.90337041
G,794,46,4.7,4.7,45.05662231,40.17881419,49.93443043
G,794,42,5.633333333,5.633333333,45.1259391,40.35779378,49.89408442
G,922,47,6.15,6.15,45.16431089,40.45313313,49.87548865
G,922,34,8.65,8.65,45.34998087,40.87328358,49.82667816
G,922,41,5.55,5.55,45.1197501,40.34216188,49.89733832
G,922,46,6.783333333,6.783333333,45.21134729,40.56618509,49.85650949
G,1049,50,13.05,13.05,45.67676003,41.42290967,49.93061039
G,1049,45,18.4,18.4,46.07409378,41.72650908,50.42167848
G,1049,35,12.35,12.35,45.62477244,41.35308965,49.89645522
G,1049,41,14.6,14.6,45.79187542,41.55269263,50.0310582
G,1175,40,24.15,24.15,46.50113473,41.63810191,51.36416755
G,1175,33,20.75,20.75,46.24862356,41.73686568,50.76038143
G,1175,38,24.4,24.4,46.51970172,41.62616341,51.41324004
G,1175,44,23.1,23.1,46.42315334,41.68162943,51.16467724
G,1299,45,7.5,7.5,45.26457268,40.68882926,49.8403161
G,1299,42,27.5,27.5,46.7499325,41.43309058,52.06677441
G,1299,50,29.05,29.05,46.86504788,41.30913874,52.42095702
G,1299,44,17.2,17.2,45.98497219,41.69337246,50.27657192
G,1425,46,24.58333333,24.58333333,46.53331752,41.61703748,51.44959756
G,1425,45,25.95,25.95,46.63481711,41.53955739,51.73007683
G,1425,44,30.05,30.05,46.93931587,41.22090996,52.65772178
G,1425,49,19.4,19.4,46.14836177,41.73947031,50.55725323
G,1551,38,25.13333333,25.13333333,46.57416492,41.58782239,51.56050745
G,1551,42,28.8,28.8,46.84648088,41.33022138,52.36274038
G,1551,43,23.35,23.35,46.44172033,41.67225979,51.21118087
G,1551,46,32.9,32.9,47.15097964,40.93899973,53.36295956
G,1684,49,22.38333333,22.38333333,46.36992794,41.70489977,51.03495612
G,1684,50,46.75,46.75,48.17959132,39.16463469,57.19454794
G,1684,49,48.05,48.05,48.2761397,38.9770435,57.5752359
G,1684,50,42.75,42.75,47.88251935,39.72488237,56.04015633
G,1799,54,45.85,45.85,48.11275012,39.29304217,56.93245808
G,1799,55,19.55,19.55,46.15950197,41.74030092,50.57870302
G,1799,48,26.15,26.15,46.64967071,41.52688353,51.77245789
G,1799,57,22.55,22.55,46.38230594,41.69997174,51.06464015
G,1926,67,22.75,22.75,46.39715954,41.6936681,51.10065098
G,1926,68,31.95,31.95,47.08042505,41.03757031,53.12327979
G,1926,63,26.05,26.05,46.64224391,41.53326143,51.75122639
G,1926,66,28,28,46.78706649,41.39490796,52.17922502
