tea_type2,Line_Mean_weekly_temp,Line_Percent_mass_loss,plo,phi,Percent_mass_loss,Mean_weekly_temp,tea_type,Elevation
R,11.47883596,18.82719371,16.35541475,21.29897266,22,11.47883596,R,922
R,9.833333357,18.08004541,16.10172132,20.05836949,18,9.833333357,R,922
R,12.84375007,19.44693947,16.42518444,22.46869449,18,12.84375007,R,922
R,9.266368929,17.8226125,15.94553006,19.69969495,23,9.266368929,R,922
R,10.15955693,19.42928525,17.58949274,21.26907776,23,10.15955693,R,1049
R,6.610118929,17.817646,16.09515242,19.54013959,19,6.610118929,R,1049
R,8.565476286,18.70548533,17.1932023,20.21776837,13,8.565476286,R,1049
R,5.619047643,17.36764536,15.32697866,19.40831206,16,5.619047643,R,1049
R,6.130290921,18.79143667,17.18498171,20.39789164,18,6.130290921,R,1175
R,3.815476143,17.74038399,15.15796427,20.32280371,13,3.815476143,R,1175
R,5.129464286,18.33700657,16.34596404,20.3280491,18,5.129464286,R,1175
R,3.623511858,17.65322169,14.97956585,20.32687753,21,3.623511858,R,1175
R,7.441964214,20.55975183,19.42880341,21.69070026,21,7.441964214,R,1299
R,10.05952372,21.74826721,20.10159516,23.39493925,17,10.05952372,R,1299
R,7.907738143,20.77123871,19.65710952,21.88536789,25,7.907738143,R,1299
R,8.571759254,21.07274066,19.8867748,22.25870652,20,8.571759254,R,1299
R,7.184523857,21.63451868,20.48662521,22.78241214,22,7.184523857,R,1425
R,9.244047571,22.56965524,21.14713666,23.99217382,20,9.244047571,R,1425
R,6.321428643,21.24262618,19.91657413,22.56867823,20,6.321428643,R,1425
R,7.062665429,21.57918828,20.4157825,22.74259405,22,7.062665429,R,1425
R,7.184523857,24.08403968,22.52890423,25.63917513,20,7.184523857,R,1684
R,9.244047571,25.01917624,23.12579696,26.91255552,24,9.244047571,R,1684
R,6.321428643,23.69214718,22.05929679,25.32499757,24,6.321428643,R,1684
R,7.062665429,24.02870928,22.47080987,25.58660869,26,7.062665429,R,1684
R,7.184523857,26.37278131,24.16440129,28.58116133,28,7.184523857,R,1926
R,9.244047571,27.30791787,24.76357281,29.85226293,25,9.244047571,R,1926
R,6.321428643,25.98088881,23.75729624,28.20448139,28,6.321428643,R,1926
R,7.062665429,26.31745091,24.11289066,28.52201115,30,7.062665429,R,1926
G,9.833333357,46.35666025,38.85602361,53.85729689,47,9.833333357,G,922
G,12.84375007,45.30979695,35.38098026,55.23861364,34,12.84375007,G,922
G,9.266368929,46.55382041,39.34451502,53.76312581,41,9.266368929,G,922
G,10.15955693,46.24321699,38.5455054,53.94092858,46,10.15955693,G,922
G,6.610118929,47.47752331,40.58894831,54.36609831,50,6.610118929,G,1049
G,8.565476286,46.79755371,39.84838906,53.74671836,45,8.565476286,G,1049
G,5.619047643,47.82216535,40.58799857,55.05633213,35,5.619047643,G,1049
G,6.130290921,47.64438205,40.61802075,54.67074334,41,6.130290921,G,1049
G,3.815476143,48.44935188,40.06048318,56.83822058,40,3.815476143,G,1175
G,5.129464286,47.99241648,40.50500651,55.47982645,33,5.129464286,G,1175
G,3.623511858,48.51610688,39.97273364,57.05948011,38,3.623511858,G,1175
G,4.139054238,48.33682857,40.19640714,56.47725001,44,4.139054238,G,1175
G,7.441964214,47.18825163,40.39773882,53.97876444,45,7.441964214,G,1299
G,10.05952372,46.27800324,38.64287387,53.9131326,42,10.05952372,G,1299
G,7.907738143,47.02628016,40.21026054,53.84229977,50,7.907738143,G,1299
G,8.571759254,46.79536882,39.84439933,53.74633832,44,8.571759254,G,1299
G,7.184523857,47.27777573,40.47648734,54.07906413,46,7.184523857,G,1425
G,9.244047571,46.5615826,39.36232812,53.76083708,45,9.244047571,G,1425
G,6.321428643,47.57791448,40.61330745,54.54252151,44,6.321428643,G,1425
G,7.062665429,47.32015163,40.50760219,54.13270107,49,7.062665429,G,1425
G,7.184523857,47.27777573,40.47648734,54.07906413,49,7.184523857,G,1684
G,9.244047571,46.5615826,39.36232812,53.76083708,50,9.244047571,G,1684
G,6.321428643,47.57791448,40.61330745,54.54252151,49,6.321428643,G,1684
G,7.062665429,47.32015163,40.50760219,54.13270107,50,7.062665429,G,1684
G,7.184523857,47.27777573,40.47648734,54.07906413,67,7.184523857,G,1926
G,9.244047571,46.5615826,39.36232812,53.76083708,68,9.244047571,G,1926
G,6.321428643,47.57791448,40.61330745,54.54252151,63,6.321428643,G,1926
G,7.062665429,47.32015163,40.50760219,54.13270107,66,7.062665429,G,1926
