Treatment,Code,Moisture_VWC,Before/after,Date,Probe_type,Site
"Light water, cover",L/C,25.9,N/A,14/08/16,HydroSense,1
"Light water, cover",L/C,26.5,N/A,14/08/16,HydroSense,1
"Light water, cover",L/C,21.2,N/A,14/08/16,HydroSense,1
Saturated,H,53.5,N/A,14/08/16,HydroSense,2
Saturated,H,49.2,N/A,14/08/16,HydroSense,2
Saturated,H,47.7,N/A,14/08/16,HydroSense,2
Disturbed (no base),D,19.1,N/A,14/08/16,HydroSense,3
Disturbed (no base),D,10,N/A,14/08/16,HydroSense,3
Disturbed (no base),D,13.6,N/A,14/08/16,HydroSense,3
"Disturbed, cover ",DC,21.8,N/A,14/08/16,HydroSense,4
"Disturbed, cover ",DC,18.4,N/A,14/08/16,HydroSense,4
"Disturbed, cover ",DC,16.3,N/A,14/08/16,HydroSense,4
Light water,L,21.5,N/A,14/08/16,HydroSense,5
Light water,L,17.3,N/A,14/08/16,HydroSense,5
Light water,L,18.6,N/A,14/08/16,HydroSense,5
Cover,C,3.4,N/A,14/08/16,HydroSense,6
Cover,C,4.8,N/A,14/08/16,HydroSense,6
Cover,C,4.3,N/A,14/08/16,HydroSense,6
"Light water, cover",L/C,16.7,N/A,14/08/16,HydroSense,7
"Light water, cover",L/C,16.6,N/A,14/08/16,HydroSense,7
"Light water, cover",L/C,19.8,N/A,14/08/16,HydroSense,7
Cover,C,3.1,N/A,14/08/16,HydroSense,8
Cover,C,2.2,N/A,14/08/16,HydroSense,8
Cover,C,0,N/A,14/08/16,HydroSense,8
Saturated,H,52.2,N/A,14/08/16,HydroSense,9
Saturated,H,54.2,N/A,14/08/16,HydroSense,9
Saturated,H,51.4,N/A,14/08/16,HydroSense,9
Light water,L,29.1,N/A,14/08/16,HydroSense,10
Light water,L,30.8,N/A,14/08/16,HydroSense,10
Light water,L,21.3,N/A,14/08/16,HydroSense,10
"Saturated, cover",H/C,40.6,N/A,14/08/16,HydroSense,11
"Saturated, cover",H/C,27.9,N/A,14/08/16,HydroSense,11
"Saturated, cover",H/C,43.2,N/A,14/08/16,HydroSense,11
Disturbed (base),N,4.1,N/A,14/08/16,HydroSense,12
Disturbed (base),N,2.6,N/A,14/08/16,HydroSense,12
Disturbed (base),N,2.4,N/A,14/08/16,HydroSense,12
Disturbed (base),N,3.8,N/A,14/08/16,HydroSense,13
Disturbed (base),N,2.1,N/A,14/08/16,HydroSense,13
Disturbed (base),N,4.4,N/A,14/08/16,HydroSense,13
Ambient,A,37.2,N/A,14/08/16,HydroSense,14
Ambient,A,36.7,N/A,14/08/16,HydroSense,14
Ambient,A,36.8,N/A,14/08/16,HydroSense,14
"Saturated, cover",H/C,34.6,N/A,14/08/16,HydroSense,15
"Saturated, cover",H/C,32,N/A,14/08/16,HydroSense,15
"Saturated, cover",H/C,29.3,N/A,14/08/16,HydroSense,15
Ambient,A,29.2,N/A,14/08/16,HydroSense,16
Ambient,A,29,N/A,14/08/16,HydroSense,16
Ambient,A,17.8,N/A,14/08/16,HydroSense,16
"Disturbed, cover ",DC,8.5,N/A,14/08/16,HydroSense,17
"Disturbed, cover ",DC,10.9,N/A,14/08/16,HydroSense,17
"Disturbed, cover ",DC,13.9,N/A,14/08/16,HydroSense,17
Disturbed (no base),D,30.9,N/A,14/08/16,HydroSense,18
Disturbed (no base),D,29.9,N/A,14/08/16,HydroSense,18
Disturbed (no base),D,27.7,N/A,14/08/16,HydroSense,18
Ambient,A,9,Before,23/06/16,Chinese,
Ambient,A,6,Before,29/06/16,Chinese,
Ambient,A,6,After,02/07/16,Chinese,
Ambient,A,5,Before,02/07/16,Chinese,
Ambient,A,5,After,06/07/16,Chinese,
Ambient,A,5,Before,06/07/16,Chinese,
Ambient,A,5,After,09/07/16,Chinese,
Ambient,A,5,Before,13/07/16,Chinese,
Ambient,A,5,After,13/07/16,Chinese,
Ambient,A,5,Before,16/07/16,Chinese,
Ambient,A,5,After,16/07/16,Chinese,
Ambient,A,5.5,Before,20/07/16,Chinese,
Ambient,A,5.5,After,20/07/16,Chinese,
Ambient,A,6.5,Before,23/07/16,Chinese,
Ambient,A,6.5,After,23/07/16,Chinese,
Ambient,A,6.5,Before,27/07/16,Chinese,
Ambient,A,6.5,After,27/07/16,Chinese,
Ambient,A,7,Before,30/07/16,Chinese,
Ambient,A,7,After,30/07/16,Chinese,
Ambient,A,7,Before,03/08/16,Chinese,
Ambient,A,7,After,03/08/16,Chinese,
"Light water, cover",L/C,1,Before,23/06/16,Chinese,
"Light water, cover",L/C,1,Before,02/07/16,Chinese,
"Light water, cover",L/C,1.5,After,02/07/16,Chinese,
"Light water, cover",L/C,1,Before,06/07/16,Chinese,
"Light water, cover",L/C,1.5,After,06/07/16,Chinese,
"Light water, cover",L/C,1,Before,09/07/16,Chinese,
"Light water, cover",L/C,1,After,09/07/16,Chinese,
"Light water, cover",L/C,,Before,13/07/16,Chinese,
"Light water, cover",L/C,1.5,After,13/07/16,Chinese,
"Light water, cover",L/C,1,Before,16/07/16,Chinese,
"Light water, cover",L/C,2,After,16/07/16,Chinese,
"Light water, cover",L/C,1,Before,20/07/16,Chinese,
"Light water, cover",L/C,1.5,After,20/07/16,Chinese,
"Light water, cover",L/C,1,Before,23/07/16,Chinese,
"Light water, cover",L/C,1.5,After,23/07/16,Chinese,
"Light water, cover",L/C,1,Before,27/07/16,Chinese,
"Light water, cover",L/C,1.5,After,27/07/16,Chinese,
"Light water, cover",L/C,1,Before,30/07/16,Chinese,
"Light water, cover",L/C,1.5,After,30/07/16,Chinese,
"Light water, cover",L/C,1,Before,03/08/16,Chinese,
"Light water, cover",L/C,1.5,After,03/08/16,Chinese,
"Light water, no cover",L,2,Before,23/06/16,Chinese,
"Light water, no cover",L,2.5,Before,02/07/16,Chinese,
"Light water, no cover",L,3,After,02/07/16,Chinese,
"Light water, no cover",L,2,Before,06/07/16,Chinese,
"Light water, no cover",L,2,After,06/07/16,Chinese,
"Light water, no cover",L,2,Before,09/07/16,Chinese,
"Light water, no cover",L,3,After,09/07/16,Chinese,
"Light water, no cover",L,2,Before,13/07/16,Chinese,
"Light water, no cover",L,2.5,After,13/07/16,Chinese,
"Light water, no cover",L,2,Before,16/07/16,Chinese,
"Light water, no cover",L,2,After,16/07/16,Chinese,
"Light water, no cover",L,2,Before,20/07/16,Chinese,
"Light water, no cover",L,2,After,20/07/16,Chinese,
"Light water, no cover",L,4,Before,23/07/16,Chinese,
"Light water, no cover",L,4,After,23/07/16,Chinese,
"Light water, no cover",L,2.5,Before,27/07/16,Chinese,
"Light water, no cover",L,3,After,27/07/16,Chinese,
"Light water, no cover",L,2,Before,30/07/16,Chinese,
"Light water, no cover",L,2.5,After,30/07/16,Chinese,
"Light water, no cover",L,2,Before,03/08/16,Chinese,
"Light water, no cover",L,2,After,03/08/16,Chinese,
"No water, cover",N/C,3,Before,23/06/16,Chinese,
"No water, cover",N/C,1.25,Before,02/07/16,Chinese,
"No water, cover",N/C,1.25,After,02/07/16,Chinese,
"No water, cover",N/C,1,Before,06/07/16,Chinese,
"No water, cover",N/C,1,After,06/07/16,Chinese,
"No water, cover",N/C,1,Before,09/07/16,Chinese,
"No water, cover",N/C,1,After,09/07/16,Chinese,
"No water, cover",N/C,,Before,13/07/16,Chinese,
"No water, cover",N/C,1,After,13/07/16,Chinese,
"No water, cover",N/C,1,Before,16/07/16,Chinese,
"No water, cover",N/C,1,After,16/07/16,Chinese,
"No water, cover",N/C,1,Before,20/07/16,Chinese,
"No water, cover",N/C,1,After,20/07/16,Chinese,
"No water, cover",N/C,1,Before,23/07/16,Chinese,
"No water, cover",N/C,1,After,23/07/16,Chinese,
"No water, cover",N/C,1.5,Before,27/07/16,Chinese,
