Site,Elevation,Treatment,Moiture.Orig,Date,Probe.Type
1,794,A,1.25,13/08/2016,Chinese
1,794,M,1,13/08/2016,Chinese
1,794,M,2,13/08/2016,Chinese
1,794,M,2,13/08/2016,Chinese
1,794,T,1,13/08/2016,Chinese
1,794,T,1.5,13/08/2016,Chinese
1,794,T,1,13/08/2016,Chinese
1,794,B,1,13/08/2016,Chinese
1,794,B,1,13/08/2016,Chinese
1,794,B,1,13/08/2016,Chinese
2,922,A,1,13/08/2016,Chinese
2,922,A,1,13/08/2016,Chinese
2,922,A,1.5,13/08/2016,Chinese
3,1049,A,1,13/08/2016,Chinese
3,1049,A,1,13/08/2016,Chinese
3,1049,A,1,13/08/2016,Chinese
4,1175,A,6,13/08/2016,Chinese
4,1175,A,2.5,13/08/2016,Chinese
4,1175,A,3,13/08/2016,Chinese
4,1175,M,1.5,13/08/2016,Chinese
4,1175,M,1.5,13/08/2016,Chinese
4,1175,M,1.5,13/08/2016,Chinese
4,1175,T,3,13/08/2016,Chinese
4,1175,T,2.5,13/08/2016,Chinese
4,1175,T,4,13/08/2016,Chinese
4,1175,B,1,13/08/2016,Chinese
4,1175,B,1,13/08/2016,Chinese
4,1175,B,1,13/08/2016,Chinese
5,1299,A,3.5,13/08/2016,Chinese
5,1299,A,3,13/08/2016,Chinese
5,1299,A,2.5,13/08/2016,Chinese
6,1425,A,2,13/08/2016,Chinese
6,1425,A,2.5,13/08/2016,Chinese
6,1425,A,2.5,13/08/2016,Chinese
7,1551,A,2,13/08/2016,Chinese
7,1551,A,2.5,13/08/2016,Chinese
7,1551,A,4,13/08/2016,Chinese
7,1551,M,3,13/08/2016,Chinese
7,1551,M,3,13/08/2016,Chinese
7,1551,M,3,13/08/2016,Chinese
7,1551,T,3,13/08/2016,Chinese
7,1551,T,3.5,13/08/2016,Chinese
7,1551,T,3,13/08/2016,Chinese
7,1551,B,1,13/08/2016,Chinese
7,1551,B,1.5,13/08/2016,Chinese
