Site,Elevation,Treatment,Soil_moisture
1,794,A,6.8
1,794,A,5.4
1,794,A,4.7
1,794,M,6
1,794,M,9.6
1,794,M,6.75
1,794,T,3.25
1,794,T,4.2
1,794,T,5.3
1,794,B,5.3
1,794,B,6.15
1,794,B,4
2,922,A,6.15
2,922,A,8.65
2,922,A,5.55
3,1049,A,13.05
3,1049,A,18.4
3,1049,A,12.35
4,1175,A,24.15
4,1175,A,20.75
4,1175,A,24.4
4,1175,M,5.3
4,1175,M,8.55
4,1175,M,6.35
4,1175,T,14
4,1175,T,24.45
4,1175,T,17.45
4,1175,B,9.2
4,1175,B,6.55
4,1175,B,6.75
5,1299,A,27.5
5,1299,A,29.05
5,1299,A,17.2
6,1425,A,25.95
6,1425,A,30.05
6,1425,A,19.4
7,1551,A,28.8
7,1551,A,23.35
7,1551,A,32.9
7,1551,M,15.15
7,1551,M,19.15
7,1551,M,14.3
7,1551,T,27.7
7,1551,T,24.2
7,1551,T,37.5
7,1551,B,22.25
7,1551,B,25.8
7,1551,B,19.1
8,1684,A,46.75
8,1684,A,48.05
8,1684,A,42.75
9,1799,A,19.55
9,1799,A,26.15
9,1799,A,22.55
10,1926,A,31.95
10,1926,A,26.05
10,1926,A,28
10,1926,M,30.5
10,1926,M,33.7
10,1926,M,34.1
10,1926,T,33.2
10,1926,T,38.25
10,1926,T,29.7
10,1926,B,17.5
10,1926,B,14.4
10,1926,B,24.45
