Sample_ID,Location,Treatment,Site,DOB,Init_mass_g_w_bag,Init_mass_r_w_bag,Init_mass_g,Init_mass_4,DOR,Final_mass_g_w_tea,Final_mass_r_w_tea,Final_mass_g,Final_mass_r,Fraction _decomposed_green_tea_(ag),predicted_labile_fraction_red_tea_(ar),Fraction remaining red tea (wt),incubation_time_red_and_green_tea_(t),S,k,Moiture_VWC,,,,
1,Grassland,"light water, cover",1,23/06/2016,2.188,2.209,1.9406,01/01/1900,14/08/2016,0.862,1.657,0.711,1.4076,0.633,0.415,0.718,52,0.248,0.021813696,25.9,,,,
2,Grassland,"light water, cover",1,23/06/2016,2.008,2.204,1.7606,01/01/1900,14/08/2016,0.882,1.669,0.731,1.4196,0.585,0.383,0.726,52,0.306,0.024086931,26.5,,,,
3,Grassland,"light water, cover",1,23/06/2016,2.025,2.274,1.7776,02/01/1900,14/08/2016,0.763,1.717,0.612,1.4676,0.655,0.43,0.725,52,0.222,0.019658368,21.2,,,,
4,Grassland,"light water, cover",1,23/06/2016,2.067,2.288,1.8196,02/01/1900,14/08/2016,0.789,1.694,0.638,1.4446,0.649,0.426,0.709,52,0.229,0.022194783,16.7,,,,
5,Grassland,"light water, cover",1,23/06/2016,2.114,2.245,1.8666,01/01/1900,14/08/2016,0.779,1.705,0.628,1.4556,0.663,0.435,0.729,52,0.212,0.018720776,16.6,,,,
6,Grassland,"light water, cover",1,23/06/2016,2.026,2.21,1.7786,01/01/1900,14/08/2016,0.785,1.673,0.634,1.4236,0.643,0.422,0.726,52,0.236,0.020157782,19.8,,,,
7,Grassland,saturated,2,23/06/2016,2.097,2.188,1.8496,01/01/1900,14/08/2016,1.005,1.665,0.854,1.4156,0.538,0.353,0.73,52,0.361,0.027833932,53.5,,,,
9,Grassland,saturated,2,23/06/2016,2.018,2.258,1.7706,02/01/1900,14/08/2016,1.035,1.766,0.884,1.5166,0.501,0.328,0.755,52,0.406,0.026392608,49.2,,,,
10,Grassland,saturated,2,23/06/2016,2.164,2.303,1.9166,02/01/1900,14/08/2016,1.206,1.806,1.055,1.5566,0.449,0.295,0.758,52,0.466,0.033144637,47.7,,,,
11,Grassland,saturated,2,23/06/2016,2.152,2.205,1.9046,01/01/1900,14/08/2016,1.098,1.697,0.947,1.4476,0.503,0.329,0.74,52,0.403,0.029868335,52.2,,,,
12,Grassland,saturated,2,23/06/2016,2.189,2.227,1.9416,01/01/1900,14/08/2016,1.129,1.686,0.978,1.4366,0.496,0.325,0.726,52,0.411,0.035381062,54.2,,,,
13,Grassland,disturbance,3,23/06/2016,2.153,2.153,1.9056,01/01/1900,14/08/2016,0.941,1.718,0.79,1.4686,0.585,0.384,0.771,52,0.305,0.017411301,19.1,,,,
14,Grassland,disturbance,3,23/06/2016,2.165,2.238,1.9176,01/01/1900,14/08/2016,0.979,1.854,0.828,1.6046,0.568,0.372,0.807,52,0.325,0.014057576,10,,,,
15,Grassland,disturbance,3,23/06/2016,2.201,2.174,1.9536,01/01/1900,14/08/2016,1.106,1.777,0.955,1.5276,0.511,0.335,0.794,52,0.393,0.018396102,13.6,,,,
16,Grassland,disturbance,3,23/06/2016,2.064,2.206,1.8166,01/01/1900,14/08/2016,0.84,1.804,0.689,1.5546,0.62,0.407,0.795,52,0.263,0.013525919,30.9,,,,
17,Grassland,disturbance,3,23/06/2016,2.175,2.234,1.9276,01/01/1900,14/08/2016,1.033,1.801,0.882,1.5516,0.542,0.355,0.782,52,0.356,0.018294643,29.9,,,,
18,Grassland,disturbance,3,23/06/2016,2.254,2.222,2.0066,01/01/1900,14/08/2016,0.86,1.817,0.709,1.5676,0.646,0.424,0.795,52,0.232,0.012740535,27.7,,,,
19,Grassland,"disturbance, cover",4,23/06/2016,2.141,2.193,1.8936,01/01/1900,14/08/2016,0.962,1.79,0.811,1.5406,0.572,0.375,0.793,52,0.321,0.015502467,21.8,,,,
20,Grassland,"disturbance, cover",4,23/06/2016,2.072,2.278,1.8246,02/01/1900,14/08/2016,0.933,1.859,0.782,1.6096,0.571,0.374,0.793,52,0.322,0.015423487,18.4,,,,
21,Grassland,"disturbance, cover",4,23/06/2016,2.159,2.254,1.9116,02/01/1900,14/08/2016,1.042,1.881,0.891,1.6316,0.534,0.35,0.814,52,0.366,0.014594336,16.3,,,,
22,Grassland,"disturbance, cover",4,23/06/2016,2.133,2.175,1.8856,01/01/1900,14/08/2016,0.98,1.807,0.829,1.5576,0.56,0.367,0.809,52,0.335,0.014131827,8.5,,,,
23,Grassland,"disturbance, cover",4,23/06/2016,2.055,2.206,1.8076,01/01/1900,14/08/2016,0.769,1.817,0.618,1.5676,0.658,0.431,0.801,52,0.219,0.011884132,10.9,,,,
24,Grassland,"disturbance, cover",4,23/06/2016,2.076,2.174,1.8286,01/01/1900,14/08/2016,0.831,1.768,0.68,1.5186,0.628,0.412,0.789,52,0.254,0.013815046,13.9,,,,
25,Grassland,light water,5,23/06/2016,2.108,2.183,1.8606,01/01/1900,14/08/2016,0.92,1.684,0.769,1.4346,0.586,0.384,0.742,52,0.303,0.021390821,21.5,,,,
26,Grassland,light water,5,23/06/2016,2.243,2.189,1.9956,01/01/1900,14/08/2016,0.959,1.681,0.808,1.4316,0.595,0.39,0.738,52,0.293,0.021410594,17.3,,,,
27,Grassland,light water,5,23/06/2016,2.058,2.216,1.8106,01/01/1900,14/08/2016,0.944,1.671,0.793,1.4216,0.562,0.368,0.723,52,0.333,0.026847821,18.6,,,,
28,Grassland,light water,5,23/06/2016,2.044,2.277,1.7966,02/01/1900,14/08/2016,0.978,1.83,0.827,1.5806,0.539,0.354,0.78,52,0.359,0.018777985,29.1,,,,
29,Grassland,light water,5,23/06/2016,2.162,2.319,1.9146,02/01/1900,14/08/2016,0.998,1.819,0.847,1.5696,0.557,0.365,0.758,52,0.338,0.020810531,30.8,,,,
30,Grassland,light water,5,23/06/2016,2.248,2.199,2.0006,01/01/1900,14/08/2016,0.919,1.721,0.768,1.4716,0.616,0.404,0.755,52,0.269,0.017970467,21.3,,,,
31,Grassland,"no water, cover",6,23/06/2016,2.052,2.301,1.8046,02/01/1900,14/08/2016,0.91,1.865,0.759,1.6156,0.579,0.38,0.787,52,0.312,0.015774589,3.4,,,,
32,Grassland,"no water, cover",6,23/06/2016,2.103,2.2,1.8556,01/01/1900,14/08/2016,0.944,1.852,0.793,1.6026,0.572,0.375,0.822,52,0.32,0.012406256,4.8,,,,
33,Grassland,"no water, cover",6,23/06/2016,2.174,2.228,1.9266,01/01/1900,14/08/2016,0.949,1.775,0.798,1.5256,0.586,0.384,0.771,52,0.305,0.017447432,4.3,,,,
34,Grassland,"no water, cover",6,23/06/2016,2.112,2.223,1.8646,01/01/1900,14/08/2016,0.934,1.787,0.783,1.5376,0.58,0.38,0.779,52,0.311,0.016734925,3.4,,,,
35,Grassland,"no water, cover",6,23/06/2016,2.174,2.23,1.9266,01/01/1900,14/08/2016,0.972,1.802,0.821,1.5526,0.574,0.376,0.784,52,0.319,0.016437329,16.6,,,,
36,Grassland,"no water, cover",6,23/06/2016,2.205,2.28,1.9576,02/01/1900,14/08/2016,1.085,1.953,0.934,1.7036,0.523,0.343,0.839,52,0.379,0.012207704,19.8,,,,
37,Grassland,"light water, cover",7,23/06/2016,2.201,2.245,1.9536,01/01/1900,14/08/2016,0.925,1.714,0.774,1.4646,0.604,0.396,0.734,52,0.283,0.021462125,25.9,,,,
38,Grassland,"light water, cover",7,23/06/2016,2.102,2.215,1.8546,01/01/1900,14/08/2016,0.837,1.758,0.686,1.5086,0.63,0.413,0.768,52,0.252,0.015920724,26.5,,,,
39,Grassland,"light water, cover",7,23/06/2016,2.133,2.119,1.8856,01/01/1900,14/08/2016,0.946,1.744,0.795,1.4946,0.578,0.379,0.799,52,0.313,0.014485921,21.2,,,,
40,Grassland,"light water, cover",7,23/06/2016,2.04,2.249,1.7926,01/01/1900,14/08/2016,0.937,1.775,0.786,1.5256,0.561,0.368,0.763,52,0.333,0.019871742,16.7,,,,
41,Grassland,"light water, cover",7,23/06/2016,2.172,2.292,1.9246,02/01/1900,14/08/2016,0.908,1.789,0.757,1.5396,0.606,0.398,0.754,52,0.28,0.018575724,16.6,,,,
