Sample_ID,Elevation ,Treatment,Site ,DOB,Init_mass_g_w_bag,Init_mass_r_w_bag,Init_mass_g,Init_mass_4,DOR,Final_mass_g_w_tea,Final_mass_r_w_tea,Final_mass_g,Final_mass_r,Fraction _decomposed_green_tea_(ag),predicted_labile_fraction_red_tea_(ar),Fraction remaining red tea (wt),incubation_time_red_and_green_tea_(t),S,k,Elevation,Treatment,Moiture.Orig
1A1,794,A,1,24/06/2016,2.136,2.262,1.889,2.013,13/08/2016,1.525,1.951,1.278,1.702,0.323,0.212,0.846,50,0.616,0.026082144,794,A,5.9
1A2,794,A,1,24/06/2016,2.056,2.175,1.809,1.926,13/08/2016,1.196,1.833,0.949,1.584,0.475,0.312,0.822,50,0.435,0.016867693,794,A,9.1
1A3,794,A,1,24/06/2016,2.128,2.244,1.881,1.995,13/08/2016,1.258,1.922,1.011,1.673,0.463,0.303,0.839,50,0.451,0.015198515,794,A,8.5
1M1,794,M,1,24/06/2016,2.117,2.25,1.87,2.001,13/08/2016,1.147,1.841,0.9,1.592,0.519,0.34,0.796,50,0.384,0.018378974,794,M,8.8
1M2,794,M,1,24/06/2016,2.129,2.239,1.882,1.99,13/08/2016,1.246,1.795,0.999,1.546,0.469,0.308,0.777,50,0.443,0.025846882,794,M,14.8
1M3,794,M,1,24/06/2016,2.065,2.193,1.818,1.944,13/08/2016,1.2,1.809,0.953,1.56,0.476,0.312,0.802,50,0.435,0.020062336,794,M,8.6
1T1,794,T,1,24/06/2016,2.16,2.24,1.913,1.991,13/08/2016,1.366,1.815,1.119,1.566,0.415,0.272,0.787,50,0.507,0.03069458,794,T,6.3
1T2,794,T,1,24/06/2016,1.96,2.174,1.713,1.925,13/08/2016,1.308,1.8,1.061,1.551,0.381,0.25,0.806,50,0.548,0.030157183,794,T,6.5
1T3,794,T,1,24/06/2016,2.069,2.211,1.822,1.962,13/08/2016,1.188,1.797,0.941,1.548,0.484,0.317,0.789,50,0.426,0.021911419,794,T,4.1
1B1,794,B,1,24/06/2016,2.172,2.233,1.925,1.984,13/08/2016,1.102,1.781,0.855,1.532,0.556,0.364,0.772,50,0.34,0.019627083,794,B,8.6
1B2,794,B,1,24/06/2016,2.07,2.195,1.823,1.946,13/08/2016,1.13,1.772,0.883,1.523,0.516,0.338,0.783,50,0.388,0.020601915,794,B,11
1B4,794,B,1,24/06/2016,2.106,2.22,1.859,1.995,13/08/2016,1.212,1.813,0.965,1.557,0.481,0.315,0.78,50,0.429,0.023839547,794,B,7.9
2A1,922,A,2,24/06/2016,2.065,2.244,1.818,1.906,13/08/2016,1.203,1.811,0.956,1.564,0.474,0.311,0.821,50,0.437,0.017219416,922,A,1.4
2A2,922,A,2,24/06/2016,1.973,2.155,1.726,1.963,13/08/2016,1.394,1.857,1.147,1.562,0.335,0.22,0.796,50,0.602,0.052867555,922,A,2.5
2A3,922,A,2,24/06/2016,2.106,2.212,1.859,1.984,13/08/2016,1.339,1.776,1.092,1.608,0.413,0.27,0.81,50,0.51,0.024123062,922,A,2.2
