Label,Site,Elevation,Treatment,Init__w_bag,Init,tea_type,Plot,Site,DOB,DOR,Days,Final_w_bag,Final,Mass_loss,Percent_mass_loss,Notes
1A1,1,794,A,2.136,1.889,G,1A,EP,24/06/2016,13/08/2016,50,1.525,1.278,0.32,32,
1A2,1,794,A,2.056,1.809,G,1A,EP,24/06/2016,13/08/2016,50,1.196,0.949,0.48,48,
1A3,1,794,A,2.128,1.881,G,1A,EP,24/06/2016,13/08/2016,50,1.258,1.011,0.46,46,
1A4,1,794,A,2.058,1.811,G,1A,EP,24/06/2016,13/08/2016,50,1.299,1.052,0.42,42,
1M1,1,794,M,2.117,1.87,G,1M,EP,24/06/2016,13/08/2016,50,1.147,0.9,0.52,52,
1M2,1,794,M,2.129,1.882,G,1M,EP,24/06/2016,13/08/2016,50,1.246,0.999,0.47,47,
1M3,1,794,M,2.065,1.818,G,1M,EP,24/06/2016,13/08/2016,50,1.2,0.953,0.48,48,
1M4,1,794,M,2.11,1.863,G,1M,EP,24/06/2016,13/08/2016,50,1.18,0.933,0.5,50,
1T1,1,794,T,2.16,1.913,G,1T,EP,24/06/2016,13/08/2016,50,1.366,1.119,0.42,42,
1T2,1,794,T,1.96,1.713,G,1T,EP,24/06/2016,13/08/2016,50,1.308,1.061,0.38,38,
1T3,1,794,T,2.069,1.822,G,1T,EP,24/06/2016,13/08/2016,50,1.188,0.941,0.48,48,
1T4,1,794,T,2.213,1.966,G,1T,EP,24/06/2016,13/08/2016,50,1.203,0.956,0.51,51,
1B1,1,794,B,2.172,1.925,G,1B,EP,24/06/2016,13/08/2016,50,1.102,0.855,0.56,56,
1B2,1,794,B,2.07,1.823,G,1B,EP,24/06/2016,13/08/2016,50,1.13,0.883,0.52,52,
1B4,1,794,B,2.106,1.859,G,1B,EP,24/06/2016,13/08/2016,50,1.212,0.965,0.48,48,split
2A1,2,922,A,2.065,1.818,G,2A,EP,24/06/2016,13/08/2016,50,1.203,0.956,0.47,47,
2A2,2,922,A,1.973,1.726,G,2A,EP,24/06/2016,13/08/2016,50,1.394,1.147,0.34,34,
2A3,2,922,A,2.106,1.859,G,2A,EP,24/06/2016,13/08/2016,50,1.339,1.092,0.41,41,
2A4,2,922,A,2.043,1.796,G,2A,EP,24/06/2016,13/08/2016,50,1.215,0.968,0.46,46,
3A1,3,1049,A,2.063,1.816,G,3A,EP,24/06/2016,13/08/2016,50,1.152,0.905,0.5,50,
3A2,3,1049,A,2.058,1.811,G,3A,EP,24/06/2016,13/08/2016,50,1.241,0.994,0.45,45,
3A3,3,1049,A,2.016,1.769,G,3A,EP,24/06/2016,13/08/2016,50,1.401,1.154,0.35,35,
3A4,3,1049,A,2.094,1.847,G,3A,EP,24/06/2016,13/08/2016,50,1.339,1.092,0.41,41,
4A1,4,1175,A,2.103,1.856,G,4A,EP,24/06/2016,13/08/2016,50,1.363,1.116,0.4,40,
4A2,4,1175,A,2.161,1.914,G,4A,EP,24/06/2016,13/08/2016,50,1.522,1.275,0.33,33,
4A3,4,1175,A,2.057,1.81,G,4A,EP,24/06/2016,13/08/2016,50,1.372,1.125,0.38,38,
4A4,4,1175,A,2.129,1.882,G,4A,EP,24/06/2016,13/08/2016,50,1.31,1.063,0.44,44,
4M1,4,1175,M,2.056,1.809,G,4M,EP,24/06/2016,13/08/2016,50,1.18,0.933,0.48,48,
4M2,4,1175,M,2.08,1.833,G,4M,EP,24/06/2016,13/08/2016,50,1.121,0.874,0.52,52,
4M3,4,1175,M,2.085,1.838,G,4M,EP,24/06/2016,13/08/2016,50,1.228,0.981,0.47,47,
4M4,4,1175,M,2.114,1.867,G,4M,EP,24/06/2016,13/08/2016,50,1.152,0.905,0.52,52,
4T1,4,1175,T,2.047,1.8,G,4T,EP,24/06/2016,13/08/2016,50,1.28,1.033,0.43,43,
4T2,4,1175,T,2.104,1.857,G,4T,EP,24/06/2016,13/08/2016,50,1.286,1.039,0.44,44,
4T3,4,1175,T,1.994,1.747,G,4T,EP,24/06/2016,13/08/2016,50,1.255,1.008,0.42,42,
4T4,4,1175,T,2.004,1.757,G,4T,EP,24/06/2016,13/08/2016,50,1.23,0.983,0.44,44,
4B1,4,1175,B,2.031,1.784,G,4B,EP,24/06/2016,13/08/2016,50,1.568,1.321,0.26,26,
4B2,4,1175,B,1.951,1.704,G,4B,EP,24/06/2016,13/08/2016,50,1.813,1.566,0.08,8,
4B3,4,1175,B,2.066,1.819,G,4B,EP,24/06/2016,13/08/2016,50,1.515,1.268,0.3,30,
4B4,4,1175,B,2.085,1.838,G,4B,EP,24/06/2016,13/08/2016,50,1.783,1.536,0.16,16,
5A1,5,1299,A,2.035,1.788,G,5A,EP,24/06/2016,13/08/2016,50,1.224,0.977,0.45,45,
5A2,5,1299,A,2.195,1.948,G,5A,EP,24/06/2016,13/08/2016,50,1.382,1.135,0.42,42,
5A3,5,1299,A,2.112,1.865,G,5A,EP,24/06/2016,13/08/2016,50,1.189,0.942,0.5,50,
5A4,5,1299,A,2.054,1.807,G,5A,EP,24/06/2016,13/08/2016,50,1.131,1.014,0.44,44,lable missing
6A1,6,1425,A,2.03,1.783,G,6A,EP,24/06/2016,13/08/2016,50,1.205,0.958,0.46,46,
6A2,6,1425,A,2.091,1.844,G,6A,EP,24/06/2016,13/08/2016,50,1.27,1.023,0.45,45,
6A3,6,1425,A,2.049,1.802,G,6A,EP,24/06/2016,13/08/2016,50,1.257,1.01,0.44,44,
6A4,6,1425,A,2.105,1.858,G,6A,EP,24/06/2016,13/08/2016,50,1.203,0.956,0.49,49,
7A1,7,1551,A,2.092,1.845,G,7A,EP,24/06/2016,13/08/2016,50,1.388,1.141,0.38,38,
7A2,7,1551,A,1.951,1.704,G,7A,EP,24/06/2016,13/08/2016,50,1.24,0.993,0.42,42,
7A3,7,1551,A,2.019,1.772,G,7A,EP,24/06/2016,13/08/2016,50,1.258,1.011,0.43,43,
7A4,7,1551,A,2.025,1.778,G,7A,EP,24/06/2016,13/08/2016,50,1.199,0.952,0.46,46,
7M1,7,1551,M,1.965,1.718,G,7M,EP,24/06/2016,13/08/2016,50,1.032,0.785,0.54,54,
7M2,7,1551,M,2.128,1.881,G,7M,EP,24/06/2016,13/08/2016,50,1.193,0.946,0.5,50,
7M3,7,1551,M,2.024,1.777,G,7M,EP,24/06/2016,13/08/2016,50,1.14,0.893,0.5,50,
7M4,7,1551,M,2.126,1.879,G,7M,EP,24/06/2016,13/08/2016,50,1.188,0.941,0.5,50,
7T1,7,1551,T,2.024,1.777,G,7T,EP,24/06/2016,13/08/2016,50,NA,#VALUE!,#VALUE!,#VALUE!,split
7T2,7,1551,T,2.033,1.786,G,7T,EP,24/06/2016,13/08/2016,50,1.272,1.025,0.43,43,
7T3,7,1551,T,2.133,1.886,G,7T,EP,24/06/2016,13/08/2016,50,1.224,0.977,0.48,48,
7T4,7,1551,T,2.078,1.831,G,7T,EP,24/06/2016,13/08/2016,50,1.245,0.998,0.46,46,
7B1,7,1551,B,2.006,1.759,G,7B,EP,24/06/2016,13/08/2016,50,1.238,0.991,0.44,44,
