"","Day","Plot","Daily_mean","Treatment"
"1",2016-06-23,"1",17.5,"1"
"2",2016-06-24,"1",16.75,"1"
"3",2016-06-25,"1",15.7916666666667,"1"
"4",2016-06-26,"1",15.9166666666667,"1"
"5",2016-06-27,"1",16.5208333333333,"1"
"6",2016-06-28,"1",16.2916666666667,"1"
"7",2016-06-29,"1",16.8958333333333,"1"
"8",2016-06-30,"1",16.1458333333333,"1"
"9",2016-07-01,"1",15.2708333333333,"1"
"10",2016-07-02,"1",14.375,"1"
"11",2016-07-03,"1",13.0416666666667,"1"
"12",2016-07-04,"1",15.4166666666667,"1"
"13",2016-07-05,"1",17.2916666666667,"1"
"14",2016-07-06,"1",16.5208333333333,"1"
"15",2016-07-07,"1",16.7083333333333,"1"
"16",2016-07-08,"1",17.8541666666667,"1"
"17",2016-07-09,"1",18.7708333333333,"1"
"18",2016-07-10,"1",16.1875,"1"
"19",2016-07-11,"1",16.9583333333333,"1"
"20",2016-07-12,"1",18.6041666666667,"1"
"21",2016-07-13,"1",19.1875,"1"
"22",2016-07-14,"1",19.6666666666667,"1"
"23",2016-07-15,"1",18.9375,"1"
"24",2016-07-16,"1",19.125,"1"
"25",2016-07-17,"1",20.3541666666667,"1"
"26",2016-07-18,"1",19.9791666666667,"1"
"27",2016-07-19,"1",16.6458333333333,"1"
"28",2016-07-20,"1",15.6666666666667,"1"
"29",2016-07-21,"1",14.5,"1"
"30",2016-07-22,"1",15.1458333333333,"1"
"31",2016-07-23,"1",13.3333333333333,"1"
"32",2016-07-24,"1",14.75,"1"
"33",2016-07-25,"1",16.1666666666667,"1"
"34",2016-07-26,"1",16.1041666666667,"1"
"35",2016-07-27,"1",15.6666666666667,"1"
"36",2016-07-28,"1",17.5416666666667,"1"
"37",2016-07-29,"1",16.9375,"1"
"38",2016-07-30,"1",15.5,"1"
"39",2016-07-31,"1",16,"1"
"40",2016-08-01,"1",17.5833333333333,"1"
"41",2016-08-02,"1",16.4166666666667,"1"
"42",2016-08-03,"1",14.6041666666667,"1"
"43",2016-08-04,"1",15.9583333333333,"1"
"44",2016-08-05,"1",15.6666666666667,"1"
"45",2016-08-06,"1",17.3125,"1"
"46",2016-08-07,"1",16.9583333333333,"1"
"47",2016-08-08,"1",17.5833333333333,"1"
"48",2016-08-09,"1",17.3125,"1"
"49",2016-08-10,"1",16.4375,"1"
"50",2016-08-11,"1",15.8125,"1"
"51",2016-08-12,"1",14.3333333333333,"1"
"52",2016-08-13,"1",14.2708333333333,"1"
"53",2016-08-14,"1",13.8958333333333,"1"
"54",2016-06-23,"10",16,"0"
"55",2016-06-24,"10",14.7708333333333,"0"
"56",2016-06-25,"10",14.2083333333333,"0"
"57",2016-06-26,"10",13.875,"0"
"58",2016-06-27,"10",14.4583333333333,"0"
"59",2016-06-28,"10",14.4791666666667,"0"
"60",2016-06-29,"10",14.4791666666667,"0"
"61",2016-06-30,"10",14.3541666666667,"0"
"62",2016-07-01,"10",13.1875,"0"
"63",2016-07-02,"10",13.1041666666667,"0"
"64",2016-07-03,"10",11.6041666666667,"0"
"65",2016-07-04,"10",13.125,"0"
"66",2016-07-05,"10",14.6458333333333,"0"
"67",2016-07-06,"10",14.625,"0"
"68",2016-07-07,"10",14.875,"0"
"69",2016-07-08,"10",16.0833333333333,"0"
"70",2016-07-09,"10",16.5833333333333,"0"
"71",2016-07-10,"10",14.75,"0"
"72",2016-07-11,"10",15.4375,"0"
"73",2016-07-12,"10",16.75,"0"
"74",2016-07-13,"10",17.375,"0"
"75",2016-07-14,"10",17.8125,"0"
"76",2016-07-15,"10",17.3333333333333,"0"
"77",2016-07-16,"10",17.3541666666667,"0"
"78",2016-07-17,"10",18.2083333333333,"0"
"79",2016-07-18,"10",18.3125,"0"
"80",2016-07-19,"10",15.6875,"0"
"81",2016-07-20,"10",14.6666666666667,"0"
"82",2016-07-21,"10",13.4791666666667,"0"
"83",2016-07-22,"10",13.8541666666667,"0"
"84",2016-07-23,"10",12.5,"0"
"85",2016-07-24,"10",13.2291666666667,"0"
"86",2016-07-25,"10",14.1041666666667,"0"
"87",2016-07-26,"10",14.1875,"0"
"88",2016-07-27,"10",13.8958333333333,"0"
"89",2016-07-28,"10",15.3125,"0"
"90",2016-07-29,"10",14.875,"0"
"91",2016-07-30,"10",13.7083333333333,"0"
"92",2016-07-31,"10",13.625,"0"
"93",2016-08-01,"10",15.25,"0"
"94",2016-08-02,"10",14.375,"0"
"95",2016-08-03,"10",13.4166666666667,"0"
"96",2016-08-04,"10",13.6458333333333,"0"
"97",2016-08-05,"10",13.8958333333333,"0"
"98",2016-08-06,"10",15.2291666666667,"0"
"99",2016-08-07,"10",14.7083333333333,"0"
"100",2016-08-08,"10",15.4166666666667,"0"
"101",2016-08-09,"10",14.8958333333333,"0"
"102",2016-08-10,"10",14.3333333333333,"0"
"103",2016-08-11,"10",13.875,"0"
"104",2016-08-12,"10",12.9375,"0"
"105",2016-08-13,"10",12.75,"0"
"106",2016-08-14,"10",13.375,"0"
"107",2016-06-23,"11",16.5,"1"
"108",2016-06-24,"11",15.0416666666667,"1"
"109",2016-06-25,"11",14.8333333333333,"1"
"110",2016-06-26,"11",14.0416666666667,"1"
"111",2016-06-27,"11",14.8333333333333,"1"
"112",2016-06-28,"11",14.6458333333333,"1"
"113",2016-06-29,"11",14.875,"1"
"114",2016-06-30,"11",14.6041666666667,"1"
"115",2016-07-01,"11",13.625,"1"
"116",2016-07-02,"11",13.375,"1"
"117",2016-07-03,"11",12.0208333333333,"1"
"118",2016-07-04,"11",12.7708333333333,"1"
"119",2016-07-05,"11",14.8958333333333,"1"
"120",2016-07-06,"11",14.875,"1"
"121",2016-07-07,"11",14.6875,"1"
"122",2016-07-08,"11",15.5416666666667,"1"
"123",2016-07-09,"11",16.5833333333333,"1"
"124",2016-07-10,"11",15.3541666666667,"1"
"125",2016-07-11,"11",14.8958333333333,"1"
"126",2016-07-12,"11",16.25,"1"
"127",2016-07-13,"11",16.9375,"1"
"128",2016-07-14,"11",17.5833333333333,"1"
"129",2016-07-15,"11",17.3125,"1"
"130",2016-07-16,"11",17.3541666666667,"1"
"131",2016-07-17,"11",17.9583333333333,"1"
"132",2016-07-18,"11",18.3125,"1"
"133",2016-07-19,"11",16.2083333333333,"1"
"134",2016-07-20,"11",14.9583333333333,"1"
"135",2016-07-21,"11",13.875,"1"
"136",2016-07-22,"11",13.7916666666667,"1"
"137",2016-07-23,"11",13.1875,"1"
