,Day,Plot,Treatment,Daily_mean,Weekly_average,Average_per_plot,,,,Week,Site,Treatment,Weekly_average
1,23/06/2016,10,"Light water, no cover",16,14.61011905,14.86698718,,,,1,10,"Light water, no cover",14.61011905
2,23/06/2016,11,"Saturated, cover",16.5,14.9672619,14.92788462,,,,1,11,"Saturated, cover",14.9672619
3,23/06/2016,12,"No water, no cover",17,15.09821429,14.84354968,,,,1,12,"No water, no cover",15.09821429
4,23/06/2016,13,"No water, no cover",17.5,15.98511905,15.07932692,,,,1,13,"No water, no cover",15.98511905
5,23/06/2016,14,Ambient,14.5,13.57738095,14.60456731,,,,1,14,Ambient,13.57738095
6,23/06/2016,15,"Saturated, cover",16.5,15.52678571,15.0849359,,,,1,15,"Saturated, cover",15.52678571
7,23/06/2016,16,Ambient,17.5,16.38988095,15.15144231,,,,1,16,Ambient,16.38988095
8,23/06/2016,17,"Nothing, disturbed, cover",16,15.28571429,14.70753205,,,,1,17,"Nothing, disturbed, cover",15.28571429
9,23/06/2016,18,"Nothing, disturbed, no cover",16.5,15.41369048,14.74839744,,,,1,18,"Nothing, disturbed, no cover",15.41369048
10,23/06/2016,2,"Saturated, no cover",15,14.52678571,14.67227564,,,,1,2,"Saturated, no cover",14.52678571
11,23/06/2016,3,"Nothing, disturbed, no cover",15.5,14.86309524,14.69350962,,,,1,3,"Nothing, disturbed, no cover",14.86309524
12,23/06/2016,4,"Nothing, disturbed, cover",16.5,15.46130952,14.78004808,,,,1,4,"Nothing, disturbed, cover",15.46130952
13,23/06/2016,5,"Light water, no cover",16,15.20535714,14.76802885,,,,1,5,"Light water, no cover",15.20535714
14,23/06/2016,6,"No water, cover",17.5,16.82142857,15.07011218,,,,1,6,"No water, cover",16.82142857
15,23/06/2016,8,"No water, cover",18,16.29761905,14.91866987,,,,1,8,"No water, cover",16.29761905
16,23/06/2016,9,"Saturated, no cover",17,15.6875,14.8193109,,,,1,9,"Saturated, no cover",15.6875
17,24/06/2016,10,"Light water, no cover",14.77083333,,,,,,2,10,"Light water, no cover",13.55654762
18,24/06/2016,11,"Saturated, cover",15.04166667,,,,,,2,11,"Saturated, cover",13.8422619
19,24/06/2016,12,"No water, no cover",15.47916667,,,,,,2,12,"No water, no cover",13.11755952
20,24/06/2016,13,"No water, no cover",16.20833333,,,,,,2,13,"No water, no cover",14.22023809
21,24/06/2016,14,Ambient,13.9375,,,,,,2,14,Ambient,13.33333333
22,24/06/2016,15,"Saturated, cover",15.625,,,,,,2,15,"Saturated, cover",14.42857143
23,24/06/2016,16,Ambient,16.85416667,,,,,,2,16,Ambient,14.35416667
24,24/06/2016,17,"Nothing, disturbed, cover",15.9375,,,,,,2,17,"Nothing, disturbed, cover",14.00892857
25,24/06/2016,18,"Nothing, disturbed, no cover",15.8125,,,,,,2,18,"Nothing, disturbed, no cover",13.77083333
26,24/06/2016,2,"Saturated, no cover",14.64583333,,,,,,2,2,"Saturated, no cover",13.83035714
27,24/06/2016,3,"Nothing, disturbed, no cover",15.20833333,,,,,,2,3,"Nothing, disturbed, no cover",13.92261905
28,24/06/2016,4,"Nothing, disturbed, cover",15.9375,,,,,,2,4,"Nothing, disturbed, cover",14.42261905
29,24/06/2016,5,"Light water, no cover",15.3125,,,,,,2,5,"Light water, no cover",14.59821429
30,24/06/2016,6,"No water, cover",17.14583333,,,,,,2,6,"No water, cover",15.35119048
31,24/06/2016,8,"No water, cover",16.72916667,,,,,,2,8,"No water, cover",14.57440476
32,24/06/2016,9,"Saturated, no cover",15.89583333,,,,,,2,9,"Saturated, no cover",14.24107143
33,25/06/2016,10,"Light water, no cover",14.20833333,,,,,,3,10,"Light water, no cover",16.47916667
34,25/06/2016,11,"Saturated, cover",14.83333333,,,,,,3,11,"Saturated, cover",16.34821429
35,25/06/2016,12,"No water, no cover",14.66666667,,,,,,3,12,"No water, no cover",16.4672619
36,25/06/2016,13,"No water, no cover",15.20833333,,,,,,3,13,"No water, no cover",16.50297619
37,25/06/2016,14,Ambient,13.20833333,,,,,,3,14,Ambient,16.47023809
38,25/06/2016,15,"Saturated, cover",15.29166667,,,,,,3,15,"Saturated, cover",16.56547619
39,25/06/2016,16,Ambient,15.85416667,,,,,,3,16,Ambient,16.6577381
40,25/06/2016,17,"Nothing, disturbed, cover",14.66666667,,,,,,3,17,"Nothing, disturbed, cover",16.65178572
41,25/06/2016,18,"Nothing, disturbed, no cover",14.875,,,,,,3,18,"Nothing, disturbed, no cover",16.86309524
42,25/06/2016,2,"Saturated, no cover",14.04166667,,,,,,3,2,"Saturated, no cover",17.15773809
43,25/06/2016,3,"Nothing, disturbed, no cover",14.25,,,,,,3,3,"Nothing, disturbed, no cover",16.92559524
44,25/06/2016,4,"Nothing, disturbed, cover",15.0625,,,,,,3,4,"Nothing, disturbed, cover",16.61309524
45,25/06/2016,5,"Light water, no cover",14.6875,,,,,,3,5,"Light water, no cover",16.80357143
46,25/06/2016,6,"No water, cover",16.125,,,,,,3,6,"No water, cover",16.74404762
47,25/06/2016,8,"No water, cover",15.77083333,,,,,,3,8,"No water, cover",16.76488095
48,25/06/2016,9,"Saturated, no cover",15.16666667,,,,,,3,9,"Saturated, no cover",16.96130952
49,26/06/2016,10,"Light water, no cover",13.875,,,,,,4,10,"Light water, no cover",17.56547619
50,26/06/2016,11,"Saturated, cover",14.04166667,,,,,,4,11,"Saturated, cover",17.64880953
51,26/06/2016,12,"No water, no cover",14.375,,,,,,4,12,"No water, no cover",17.74404762
