Number ,Date,Site,Treatment,Elevation,Mean_temp,Weekly_av,Average_per_plot ,,,,Week,Site,Treatment,Elevation ,Mean_weekly_temp
24,24/06/2016,1,B,794,16.770833,12.93749986,11.93429487,,,,1,1,B,794,12.93749986
25,24/06/2016,1,M,794,15.1875,10.26190471,10.57211537,,,,1,1,M,794,10.26190471
26,24/06/2016,1,T,794,15.8125,11.26190471,11.04527242,,,,1,1,T,794,11.26190471
27,24/06/2016,2,A,922,14.75,10.264881,10.5508814,,,,1,2,A,922,10.264881
28,24/06/2016,3,A,1049,12.916667,7.086309429,6.81891025,,,,1,3,A,1049,7.086309429
29,24/06/2016,4,A,1175,11.458333,4.238095143,4.17267625,,,,1,4,A,1175,4.238095143
30,24/06/2016,4,B,1175,15.3125,9.053571286,8.034054481,,,,1,4,B,1175,9.053571286
31,24/06/2016,4,M,1175,13.75,7.589285857,7.465945538,,,,1,4,M,1175,7.589285857
32,24/06/2016,4,T,1175,13.0625,6.767857143,5.90264425,,,,1,4,T,1175,6.767857143
33,24/06/2016,5,A,1299,14.479167,7.806547571,8.475160231,,,,1,5,A,1299,7.806547571
34,24/06/2016,6,A,1425,14.541667,6.8125,8.411057692,,,,1,6,A,1425,6.8125
35,24/06/2016,7,B,1551,16.916667,11.08333329,10.40745192,,,,1,7,B,1551,11.08333329
36,24/06/2016,7,M,1551,16.145833,9.401785714,9.141025635,,,,1,7,M,1551,9.401785714
37,24/06/2016,7,T,1551,15.666667,8.473214286,8.236378231,,,,1,7,T,1551,8.473214286
38,24/06/2016,8,A,1684,14.395833,4.345238143,4.561698731,,,,1,8,A,1684,4.345238143
20,24/06/2016,10,A,1926,16.208333,5.851190429,6.762019231,,,,1,10,A,1926,5.851190429
21,24/06/2016,10,B,1926,18.020833,10.01785714,9.243990404,,,,1,10,B,1926,10.01785714
22,24/06/2016,10,M,1926,16.979167,7.904761857,7.945913481,,,,1,10,M,1926,7.904761857
23,24/06/2016,10,T,1926,17.4375,8.276785714,8.063701865,,,,1,10,T,1926,8.276785714
43,25/06/2016,1,B,794,12.854167,,,,,,2,1,B,794,11.577381
44,25/06/2016,1,M,794,10.5,,,,,,2,1,M,794,9.699404714
45,25/06/2016,1,T,794,11.145833,,,,,,2,1,T,794,10.41964286
46,25/06/2016,2,A,922,10,,,,,,2,2,A,922,9.401785714
