"","Day","Plot","Daily_mean","Treatment"
"1",2016-06-24,"10A",16.2083333333333,"A"
"2",2016-06-25,"10A",4.4375,"A"
"3",2016-06-26,"10A",3.8125,"A"
"4",2016-06-27,"10A",3.75,"A"
"5",2016-06-28,"10A",4.125,"A"
"6",2016-06-29,"10A",4.375,"A"
"7",2016-06-30,"10A",4.25,"A"
"8",2016-07-01,"10A",3.91666666666667,"A"
"9",2016-07-02,"10A",3.8125,"A"
"10",2016-07-03,"10A",3.64583333333333,"A"
"11",2016-07-04,"10A",4.4375,"A"
"12",2016-07-05,"10A",5.0625,"A"
"13",2016-07-06,"10A",4.60416666666667,"A"
"14",2016-07-07,"10A",4.77083333333333,"A"
"15",2016-07-08,"10A",5.54166666666667,"A"
"16",2016-07-09,"10A",6.29166666666667,"A"
"17",2016-07-10,"10A",6.4375,"A"
"18",2016-07-11,"10A",7.89583333333333,"A"
"19",2016-07-12,"10A",8.47916666666667,"A"
"20",2016-07-13,"10A",8.22916666666667,"A"
"21",2016-07-14,"10A",8.52083333333333,"A"
"22",2016-07-15,"10A",10.6875,"A"
"23",2016-07-16,"10A",10.5833333333333,"A"
"24",2016-07-17,"10A",9.9375,"A"
"25",2016-07-18,"10A",9.75,"A"
"26",2016-07-19,"10A",8.625,"A"
"27",2016-07-20,"10A",7.77083333333333,"A"
"28",2016-07-21,"10A",7,"A"
"29",2016-07-22,"10A",7.8125,"A"
"30",2016-07-23,"10A",6.85416666666667,"A"
"31",2016-07-24,"10A",7.52083333333333,"A"
"32",2016-07-25,"10A",7.66666666666667,"A"
"33",2016-07-26,"10A",8.22916666666667,"A"
"34",2016-07-27,"10A",7.79166666666667,"A"
"35",2016-07-28,"10A",7.9375,"A"
"36",2016-07-29,"10A",7.47916666666667,"A"
"37",2016-07-30,"10A",7.1875,"A"
"38",2016-07-31,"10A",7.39583333333333,"A"
"39",2016-08-01,"10A",7.75,"A"
"40",2016-08-02,"10A",7.5,"A"
"41",2016-08-03,"10A",6.6875,"A"
"42",2016-08-04,"10A",6.89583333333333,"A"
"43",2016-08-05,"10A",7.10416666666667,"A"
"44",2016-08-06,"10A",7.8125,"A"
"45",2016-08-07,"10A",7.25,"A"
"46",2016-08-08,"10A",7.33333333333333,"A"
"47",2016-08-09,"10A",7,"A"
"48",2016-08-10,"10A",6.33333333333333,"A"
"49",2016-08-11,"10A",6,"A"
"50",2016-08-12,"10A",5.58333333333333,"A"
"51",2016-08-13,"10A",5.54166666666667,"A"
"52",2016-06-24,"10B",18.0208333333333,"B"
"53",2016-06-25,"10B",9.29166666666667,"B"
"54",2016-06-26,"10B",8.3125,"B"
"55",2016-06-27,"10B",8.04166666666667,"B"
"56",2016-06-28,"10B",8.52083333333333,"B"
"57",2016-06-29,"10B",9.77083333333333,"B"
"58",2016-06-30,"10B",8.16666666666667,"B"
"59",2016-07-01,"10B",7.83333333333333,"B"
"60",2016-07-02,"10B",6.70833333333333,"B"
"61",2016-07-03,"10B",6.22916666666667,"B"
"62",2016-07-04,"10B",8.33333333333333,"B"
"63",2016-07-05,"10B",9.97916666666667,"B"
"64",2016-07-06,"10B",7.79166666666667,"B"
"65",2016-07-07,"10B",7.72916666666667,"B"
"66",2016-07-08,"10B",9.29166666666667,"B"
"67",2016-07-09,"10B",11.4583333333333,"B"
"68",2016-07-10,"10B",8.02083333333333,"B"
"69",2016-07-11,"10B",8.04166666666667,"B"
"70",2016-07-12,"10B",10.2083333333333,"B"
"71",2016-07-13,"10B",11.1041666666667,"B"
"72",2016-07-14,"10B",11.6875,"B"
"73",2016-07-15,"10B",10.7083333333333,"B"
"74",2016-07-16,"10B",12.0625,"B"
"75",2016-07-17,"10B",11.8125,"B"
"76",2016-07-18,"10B",12.6875,"B"
"77",2016-07-19,"10B",8.8125,"B"
"78",2016-07-20,"10B",7.08333333333333,"B"
"79",2016-07-21,"10B",6.39583333333333,"B"
"80",2016-07-22,"10B",8.375,"B"
"81",2016-07-23,"10B",5.70833333333333,"B"
"82",2016-07-24,"10B",7.8125,"B"
"83",2016-07-25,"10B",8.77083333333333,"B"
"84",2016-07-26,"10B",8.85416666666667,"B"
"85",2016-07-27,"10B",8.95833333333333,"B"
"86",2016-07-28,"10B",9.6875,"B"
"87",2016-07-29,"10B",9.77083333333333,"B"
"88",2016-07-30,"10B",10.1666666666667,"B"
"89",2016-07-31,"10B",11.2916666666667,"B"
"90",2016-08-01,"10B",11.875,"B"
"91",2016-08-02,"10B",11.5,"B"
"92",2016-08-03,"10B",8.58333333333333,"B"
"93",2016-08-04,"10B",10.6666666666667,"B"
"94",2016-08-05,"10B",10.4166666666667,"B"
"95",2016-08-06,"10B",11.8958333333333,"B"
"96",2016-08-07,"10B",10.6041666666667,"B"
"97",2016-08-08,"10B",10.0416666666667,"B"
"98",2016-08-09,"10B",10.2916666666667,"B"
"99",2016-08-10,"10B",8.79166666666667,"B"
"100",2016-08-11,"10B",8.47916666666667,"B"
"101",2016-08-12,"10B",6.9375,"B"
"102",2016-08-13,"10B",7.10416666666667,"B"
"103",2016-06-24,"10M",16.9791666666667,"M"
"104",2016-06-25,"10M",7.04166666666667,"M"
"105",2016-06-26,"10M",5.58333333333333,"M"
"106",2016-06-27,"10M",5.875,"M"
"107",2016-06-28,"10M",6.3125,"M"
"108",2016-06-29,"10M",7.45833333333333,"M"
"109",2016-06-30,"10M",6.08333333333333,"M"
"110",2016-07-01,"10M",5.97916666666667,"M"
"111",2016-07-02,"10M",5.14583333333333,"M"
"112",2016-07-03,"10M",5.0625,"M"
"113",2016-07-04,"10M",7.20833333333333,"M"
"114",2016-07-05,"10M",8.375,"M"
"115",2016-07-06,"10M",6.29166666666667,"M"
"116",2016-07-07,"10M",6.33333333333333,"M"
"117",2016-07-08,"10M",8.0625,"M"
"118",2016-07-09,"10M",9.54166666666667,"M"
"119",2016-07-10,"10M",6.77083333333333,"M"
"120",2016-07-11,"10M",8.4375,"M"
"121",2016-07-12,"10M",9.54166666666667,"M"
"122",2016-07-13,"10M",9.91666666666667,"M"
"123",2016-07-14,"10M",10.2708333333333,"M"
"124",2016-07-15,"10M",10.7916666666667,"M"
"125",2016-07-16,"10M",11.7916666666667,"M"
"126",2016-07-17,"10M",10.9583333333333,"M"
"127",2016-07-18,"10M",11.3958333333333,"M"
"128",2016-07-19,"10M",8.16666666666667,"M"
"129",2016-07-20,"10M",7.10416666666667,"M"
"130",2016-07-21,"10M",6.6875,"M"
"131",2016-07-22,"10M",8.16666666666667,"M"
"132",2016-07-23,"10M",6.14583333333333,"M"
"133",2016-07-24,"10M",7.64583333333333,"M"
"134",2016-07-25,"10M",7.75,"M"
"135",2016-07-26,"10M",8.20833333333333,"M"
"136",2016-07-27,"10M",8.0625,"M"
"137",2016-07-28,"10M",7.97916666666667,"M"
"138",2016-07-29,"10M",8.22916666666667,"M"
"139",2016-07-30,"10M",8.41666666666667,"M"
"140",2016-07-31,"10M",9.10416666666667,"M"
"141",2016-08-01,"10M",9.4375,"M"
"142",2016-08-02,"10M",9.1875,"M"
"143",2016-08-03,"10M",7.14583333333333,"M"
"144",2016-08-04,"10M",8.5625,"M"
"145",2016-08-05,"10M",8.60416666666667,"M"
"146",2016-08-06,"10M",10.375,"M"
"147",2016-08-07,"10M",9,"M"
"148",2016-08-08,"10M",8.83333333333333,"M"
"149",2016-08-09,"10M",8.3125,"M"
"150",2016-08-10,"10M",6.79166666666667,"M"
"151",2016-08-11,"10M",6.6875,"M"
"152",2016-08-12,"10M",5.5625,"M"
"153",2016-08-13,"10M",5.8125,"M"
"154",2016-06-24,"10T",17.4375,"T"
"155",2016-06-25,"10T",6.8125,"T"
"156",2016-06-26,"10T",6.75,"T"
"157",2016-06-27,"10T",6.22916666666667,"T"
"158",2016-06-28,"10T",6.52083333333333,"T"
"159",2016-06-29,"10T",7.6875,"T"
"160",2016-06-30,"10T",6.5,"T"
"161",2016-07-01,"10T",6.41666666666667,"T"
"162",2016-07-02,"10T",5.64583333333333,"T"
"163",2016-07-03,"10T",5.3125,"T"
"164",2016-07-04,"10T",6.83333333333333,"T"
"165",2016-07-05,"10T",8.1875,"T"
"166",2016-07-06,"10T",6.72916666666667,"T"
"167",2016-07-07,"10T",6.64583333333333,"T"
"168",2016-07-08,"10T",7.5625,"T"
"169",2016-07-09,"10T",9.20833333333333,"T"
"170",2016-07-10,"10T",7.08333333333333,"T"
"171",2016-07-11,"10T",7.5625,"T"
"172",2016-07-12,"10T",8.64583333333333,"T"
"173",2016-07-13,"10T",9.14583333333333,"T"
"174",2016-07-14,"10T",9.66666666666667,"T"
"175",2016-07-15,"10T",10.0208333333333,"T"
"176",2016-07-16,"10T",10.6041666666667,"T"
"177",2016-07-17,"10T",10.1458333333333,"T"
"178",2016-07-18,"10T",10.5208333333333,"T"
"179",2016-07-19,"10T",8.58333333333333,"T"
"180",2016-07-20,"10T",7.39583333333333,"T"
"181",2016-07-21,"10T",6.625,"T"
"182",2016-07-22,"10T",7.72916666666667,"T"
"183",2016-07-23,"10T",6.35416666666667,"T"
"184",2016-07-24,"10T",7.47916666666667,"T"
"185",2016-07-25,"10T",8.14583333333333,"T"
"186",2016-07-26,"10T",8.35416666666667,"T"
"187",2016-07-27,"10T",8.39583333333333,"T"
"188",2016-07-28,"10T",8.875,"T"
