1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 160000003A1E9B21
Is Mission Active?  true
Mission Start:  Thu Jun 23 23:00:00 MDT 2016
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1340
Total Samples:  1395
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
23/06/16 23:00:00,C,19.5
24/06/16 00:00:00,C,19
24/06/16 01:00:00,C,18.5
24/06/16 02:00:00,C,18.5
24/06/16 03:00:00,C,18
24/06/16 04:00:00,C,17.5
24/06/16 05:00:00,C,17
24/06/16 06:00:00,C,16.5
24/06/16 07:00:00,C,16.5
24/06/16 08:00:00,C,16.5
24/06/16 09:00:00,C,16.5
24/06/16 10:00:00,C,18
24/06/16 11:00:00,C,26
24/06/16 12:00:00,C,20
24/06/16 13:00:00,C,23.5
24/06/16 14:00:00,C,29.5
24/06/16 15:00:00,C,28.5
24/06/16 16:00:00,C,24
24/06/16 17:00:00,C,12.5
24/06/16 18:00:00,C,13
24/06/16 19:00:00,C,13.5
24/06/16 20:00:00,C,13.5
24/06/16 21:00:00,C,13
24/06/16 22:00:00,C,12
24/06/16 23:00:00,C,11
25/06/16 00:00:00,C,9.5
25/06/16 01:00:00,C,8.5
25/06/16 02:00:00,C,8
25/06/16 03:00:00,C,7
25/06/16 04:00:00,C,6
25/06/16 05:00:00,C,5.5
25/06/16 06:00:00,C,5.5
25/06/16 07:00:00,C,5.5
25/06/16 08:00:00,C,5.5
25/06/16 09:00:00,C,6
25/06/16 10:00:00,C,7
25/06/16 11:00:00,C,7.5
25/06/16 12:00:00,C,9
25/06/16 13:00:00,C,10
25/06/16 14:00:00,C,11
25/06/16 15:00:00,C,12
25/06/16 16:00:00,C,12
25/06/16 17:00:00,C,14
25/06/16 18:00:00,C,14
25/06/16 19:00:00,C,13.5
25/06/16 20:00:00,C,13
25/06/16 21:00:00,C,12
25/06/16 22:00:00,C,11
25/06/16 23:00:00,C,10
26/06/16 00:00:00,C,9
26/06/16 01:00:00,C,7.5
26/06/16 02:00:00,C,6.5
26/06/16 03:00:00,C,5.5
26/06/16 04:00:00,C,5
26/06/16 05:00:00,C,4.5
26/06/16 06:00:00,C,4
26/06/16 07:00:00,C,4
26/06/16 08:00:00,C,4
26/06/16 09:00:00,C,5
26/06/16 10:00:00,C,6.5
26/06/16 11:00:00,C,7
26/06/16 12:00:00,C,8.5
26/06/16 13:00:00,C,10
26/06/16 14:00:00,C,11.5
26/06/16 15:00:00,C,12.5
26/06/16 16:00:00,C,12.5
26/06/16 17:00:00,C,12.5
26/06/16 18:00:00,C,12.5
26/06/16 19:00:00,C,12
26/06/16 20:00:00,C,11
26/06/16 21:00:00,C,10
26/06/16 22:00:00,C,9.5
26/06/16 23:00:00,C,8.5
27/06/16 00:00:00,C,8
27/06/16 01:00:00,C,7
27/06/16 02:00:00,C,6
27/06/16 03:00:00,C,5
27/06/16 04:00:00,C,4.5
27/06/16 05:00:00,C,3.5
27/06/16 06:00:00,C,3.5
27/06/16 07:00:00,C,3.5
27/06/16 08:00:00,C,3.5
27/06/16 09:00:00,C,4
27/06/16 10:00:00,C,5.5
27/06/16 11:00:00,C,7
27/06/16 12:00:00,C,8.5
27/06/16 13:00:00,C,10.5
27/06/16 14:00:00,C,11.5
27/06/16 15:00:00,C,12
27/06/16 16:00:00,C,12
27/06/16 17:00:00,C,12
27/06/16 18:00:00,C,11.5
27/06/16 19:00:00,C,11.5
27/06/16 20:00:00,C,11.5
27/06/16 21:00:00,C,11
27/06/16 22:00:00,C,10.5
27/06/16 23:00:00,C,9.5
28/06/16 00:00:00,C,8.5
