1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: D80000003A1D3F21
Is Mission Active?  true
Mission Start:  Thu Jun 23 23:01:00 MDT 2016
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1340
Total Samples:  1395
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
23/06/16 23:01:00,C,20
24/06/16 00:01:00,C,19.5
24/06/16 01:01:00,C,19
24/06/16 02:01:00,C,18.5
24/06/16 03:01:00,C,18.5
24/06/16 04:01:00,C,18
24/06/16 05:01:00,C,17.5
24/06/16 06:01:00,C,17
24/06/16 07:01:00,C,17
24/06/16 08:01:00,C,16.5
24/06/16 09:01:00,C,16.5
24/06/16 10:01:00,C,18
24/06/16 11:01:00,C,24.5
24/06/16 12:01:00,C,19.5
24/06/16 13:01:00,C,26
24/06/16 14:01:00,C,27.5
24/06/16 15:01:00,C,10
24/06/16 16:01:00,C,10
24/06/16 17:01:00,C,10.5
24/06/16 18:01:00,C,10.5
24/06/16 19:01:00,C,10.5
24/06/16 20:01:00,C,11
24/06/16 21:01:00,C,11
24/06/16 22:01:00,C,10.5
24/06/16 23:01:00,C,10
25/06/16 00:01:00,C,9
25/06/16 01:01:00,C,8.5
25/06/16 02:01:00,C,8
25/06/16 03:01:00,C,7
25/06/16 04:01:00,C,6.5
25/06/16 05:01:00,C,6
25/06/16 06:01:00,C,5.5
25/06/16 07:01:00,C,5.5
25/06/16 08:01:00,C,6
25/06/16 09:01:00,C,6
25/06/16 10:01:00,C,6.5
25/06/16 11:01:00,C,7
25/06/16 12:01:00,C,8
25/06/16 13:01:00,C,9
25/06/16 14:01:00,C,9.5
25/06/16 15:01:00,C,10
25/06/16 16:01:00,C,11
25/06/16 17:01:00,C,11.5
25/06/16 18:01:00,C,11
25/06/16 19:01:00,C,11
25/06/16 20:01:00,C,11
25/06/16 21:01:00,C,11
25/06/16 22:01:00,C,10.5
25/06/16 23:01:00,C,9.5
26/06/16 00:01:00,C,9
26/06/16 01:01:00,C,8
26/06/16 02:01:00,C,7
26/06/16 03:01:00,C,6.5
26/06/16 04:01:00,C,6
26/06/16 05:01:00,C,5.5
26/06/16 06:01:00,C,5
26/06/16 07:01:00,C,4.5
26/06/16 08:01:00,C,4.5
26/06/16 09:01:00,C,5.5
26/06/16 10:01:00,C,6.5
26/06/16 11:01:00,C,7.5
26/06/16 12:01:00,C,8.5
26/06/16 13:01:00,C,9.5
26/06/16 14:01:00,C,10.5
26/06/16 15:01:00,C,11.5
26/06/16 16:01:00,C,11.5
26/06/16 17:01:00,C,11.5
26/06/16 18:01:00,C,11.5
26/06/16 19:01:00,C,11
26/06/16 20:01:00,C,10.5
26/06/16 21:01:00,C,10
26/06/16 22:01:00,C,9.5
26/06/16 23:01:00,C,9
27/06/16 00:01:00,C,8.5
27/06/16 01:01:00,C,8
27/06/16 02:01:00,C,7
27/06/16 03:01:00,C,6.5
27/06/16 04:01:00,C,5.5
27/06/16 05:01:00,C,5
